物料大类	物料简称	料号	批次	描述	数量
					
PCBA	主板+CPU	L6 BB 1000011118	HW01	920X20_7260Z 64核 2.6GHz	3
内存	D5-5600 32G	1000010331	HW00	内存_32G_D5_5600_2Rx8_ER	32
内存	D5-5600 64G长鑫	1000010708	HW02	内存_64G_D5_5600_2Rx4_E	64
HDD	12T	1000009584	DZ00	硬盘_SV_12T_7.2K_3.5_SATA_256M_CMCC	12
HDD	12T	1000005185	DZ01	12T 7200RPM 3.5 SATA企业级硬盘	12
HDD	16T	1000010153	HW01	硬盘_SV_16T_7.2K_3.5_SATA_512M	12
RAID标卡	SP686C-M-16i	1000009509	HW00	RAID标卡_SP686C-M-16i_2G_SAS12G_PCIe4.0x8	1
RAID标卡	SP686C-M-16i	1000009942	HW00	RAID标卡_SP686C-M-16i_2G_PCIe4x8无挡片	1
超级电容		1000011424	HW00	超级电容_CRS008N003适配SP686C系列RAID卡	2
OCP网卡	双口25G OCP	1000007277	QK00	OCP网卡_25G_双口_PCIe3.0x8_SFP28_无模块	1
OCP网卡	双口100G OCP	1000009674	QK00	OCP网卡_100G_双口_N2100G_PCIe4x16_QSFP56无模块	1
OCP网卡	四口10G OCP	1000004815	GRT0	OCP NIC3.0 四口万兆光口 XL710-BM1	1
PSU	2700W电源模块	1000008734	CC00	CRPS单模块电源_2700W	18
电源线	2000W以上电源线	1000009551	SL00	电源线1800mm 3*1.5mm²品字尾C19转16A插头	18
电源线	2000W以上电源线	1000010442	SL00	电源线1.5m_3x1.5mm²_C19直母转C20直公_16A	18
灵活网卡	1G	1000007079	HW00	制成板-TS300-2280-BC83ETHA-4*GE 接口卡-2*1	2
灵活网卡	25G	1000007914	HW00	SF223D-H灵活网卡25G/10G 双口 _无模块	2
GPU	GPU	1000009173	HW0*	Atlas 300V 24GB LPDDR4x 72W PCIE HHHL视频解析卡	16
GPU	1000010850	JW00	已开限制	ST300I Duo pro 自研卡	8
