time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 12:02:15 2026,87168,16631674,1800326,4163,18432000,2,532480
Sun Feb  1 12:10:45 2026,174078,16298174,2056002,8652,18354176,2,532480
Thu Feb  5 08:26:41 2026,87502,20676921,4992711,11010,25669632,2,532480
Thu Feb 12 07:50:58 2026,87403,19140507,2543717,7845,21684224,2,532480
Mon Mar  2 02:18:23 2026,87222,16644800,2757952,6339,19402752,2,532480
Thu Mar  5 08:54:37 2026,87195,17755406,4317938,7762,22073344,3,536576
Sat Mar  7 08:08:57 2026,87207,18064999,3766681,4965,21831680,2,532480
Sun Mar  8 08:18:08 2026,174158,18233239,3913833,5780,22147072,2,532480
Fri Mar 13 06:59:01 2026,87216,17798748,3086756,6984,20885504,3,536576
Sat Mar 14 07:07:57 2026,174152,17891266,3592254,6877,21483520,3,536576
Sun Mar 15 07:16:50 2026,261085,18016125,3336323,6537,21352448,3,536576
Mon Mar 16 07:25:46 2026,348021,17666200,3686248,8451,21352448,3,536576
Tue Mar 17 08:54:30 2026,87333,17797084,2916388,7328,20713472,2,532480
Fri Mar 20 10:12:27 2026,87300,17827448,3131784,7993,20959232,2,532480
Sat Mar 21 10:23:01 2026,174334,18072188,2899332,8258,20971520,2,532480
Sun Mar 22 10:33:43 2026,261376,17914808,3126344,9245,21041152,2,532480
Thu Apr  9 02:13:55 2026,87401,20499939,2679325,6161,23179264,3,536576
Sat Apr 11 06:04:53 2026,87533,22354937,1848327,3999,24203264,2,532480
Sun Apr 12 06:18:28 2026,174748,22634214,1659162,6118,24293376,2,532480
Mon Apr 13 06:32:16 2026,261976,22856337,1973615,4705,24829952,2,532480
Tue Apr 14 06:46:13 2026,349213,23048994,1789150,4338,24838144,2,532480
Wed Apr 15 08:39:06 2026,87520,22418200,1834216,8350,24252416,2,532480
Fri Apr 17 07:27:27 2026,87555,22603302,3095002,7438,25698304,2,532480
Sat Apr 18 10:04:09 2026,87546,20401146,2053126,10600,22454272,2,532480
Sun Apr 19 10:18:01 2026,174778,20798667,1803061,6705,22601728,2,532480
Tue Apr 21 03:31:45 2026,87539,20864879,4165777,9069,25030656,2,532480
Wed Apr 22 03:45:48 2026,174782,21456337,3791407,4953,25247744,2,532480
Wed Apr 29 07:13:13 2026,87485,21294338,1794814,6625,23089152,3,536576
Fri May  1 03:34:18 2026,87562,21478979,2707901,7606,24186880,2,532480
Sat May  2 03:49:01 2026,174845,21438924,3096116,10632,24535040,2,532480
Sun May  3 04:03:46 2026,262130,22491531,2276981,6321,24768512,2,532480
Mon May  4 04:18:23 2026,349407,22560664,2289768,6405,24850432,2,532480
Tue May  5 04:33:01 2026,436685,22406421,2525931,9314,24932352,2,532480
