time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:54:11 2026,86684,6156870,2092474,2773,8249344,0,0
Sun Feb  1 11:54:21 2026,173094,6191037,2070595,2540,8261632,0,0
Thu Feb  5 08:12:19 2026,86640,6776370,1857998,1289,8634368,0,0
Thu Feb 12 07:38:30 2026,86655,6500069,3129627,3382,9629696,0,0
Mon Mar  2 02:08:41 2026,86640,6146540,3233300,2757,9379840,0,0
Thu Mar  5 08:45:25 2026,86643,6361738,1887606,1839,8249344,0,0
Sat Mar  7 07:59:32 2026,86642,6217522,2736334,3052,8953856,0,0
Sun Mar  8 07:59:42 2026,173052,6230135,2723721,3056,8953856,0,0
Fri Mar 13 06:49:26 2026,86641,6184702,2142466,2689,8327168,0,0
Sat Mar 14 06:49:36 2026,173051,6258876,2068292,2655,8327168,0,0
Sun Mar 15 06:49:47 2026,259462,6256990,2070178,2762,8327168,0,0
Mon Mar 16 06:49:57 2026,345872,6291163,2036005,2337,8327168,0,0
Tue Mar 17 08:43:11 2026,86654,6350799,3446833,3162,9797632,0,0
Fri Mar 20 10:01:28 2026,86641,6169829,2337563,2708,8507392,0,0
Sat Mar 21 10:01:38 2026,173051,6213862,2293530,2384,8507392,0,0
Sun Mar 22 10:01:49 2026,259462,6199853,2438611,2102,8638464,0,0
Thu Apr  9 02:01:17 2026,86643,6180320,2798112,2566,8978432,0,0
Sat Apr 11 05:50:01 2026,86641,6355454,3995138,3265,10350592,0,0
Sun Apr 12 05:50:12 2026,173052,6402938,3947654,3116,10350592,0,0
Mon Apr 13 05:50:22 2026,259462,6580821,3884459,2820,10465280,0,0
Tue Apr 14 05:50:32 2026,345873,6565944,3903432,2771,10469376,0,0
Wed Apr 15 08:24:27 2026,86641,6308628,2039020,2333,8347648,0,0
Fri Apr 17 07:12:14 2026,86642,6518898,3254158,2900,9773056,0,0
Sat Apr 18 09:49:05 2026,86642,6216074,2618998,2730,8835072,0,0
Sun Apr 19 09:49:15 2026,173052,6225656,2609416,2504,8835072,0,0
Tue Apr 21 03:16:57 2026,86651,6446522,3834438,3099,10280960,0,0
Wed Apr 22 03:17:08 2026,173062,6502278,3795066,2842,10297344,0,0
Wed Apr 29 06:59:26 2026,86658,6392708,3478652,2714,9871360,0,0
Fri May  1 03:18:56 2026,86640,6354767,3061937,1818,9416704,0,0
Sat May  2 03:19:07 2026,173051,6346181,3070523,1950,9416704,0,0
Sun May  3 03:19:17 2026,259461,6344165,3080731,1979,9424896,0,0
Mon May  4 03:19:27 2026,345871,6335131,3089765,2173,9424896,0,0
Tue May  5 03:19:38 2026,432282,6358433,3066463,1881,9424896,0,0
