time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:53:55 2026,86668,5667947,1115029,2591,6782976,0,0
Sun Feb  1 11:54:09 2026,173082,5931472,851504,1208,6782976,0,0
Thu Feb  5 08:12:47 2026,86668,6765158,853402,515,7618560,0,0
Thu Feb 12 07:38:43 2026,86668,6521385,1203671,1610,7725056,0,0
Mon Mar  2 02:09:00 2026,86659,5889167,1090417,651,6979584,0,0
Thu Mar  5 08:45:41 2026,86659,5764635,1530341,1843,7294976,0,0
Sat Mar  7 07:59:51 2026,86661,5856447,1266497,1507,7122944,0,0
Sun Mar  8 08:00:01 2026,173071,5745509,1377435,2023,7122944,0,0
Fri Mar 13 06:49:43 2026,86658,5449801,1664951,3249,7114752,0,0
Sat Mar 14 06:49:54 2026,173069,5670051,1444701,2645,7114752,0,0
Sun Mar 15 06:50:04 2026,259479,5908280,1206472,1465,7114752,0,0
Mon Mar 16 06:50:14 2026,345889,5941933,1213779,1236,7155712,0,0
Tue Mar 17 08:43:24 2026,86667,6156438,1232746,2392,7389184,0,0
Fri Mar 20 10:02:00 2026,86673,6127632,1175536,1574,7303168,0,0
Sat Mar 21 10:02:15 2026,173088,6288944,1059280,1401,7348224,0,0
Sun Mar 22 10:02:31 2026,259504,6418902,933418,1769,7352320,0,0
Thu Apr  9 02:01:36 2026,86662,6357441,1105471,3339,7462912,0,0
Sat Apr 11 05:50:44 2026,86685,6494572,1377940,3271,7872512,0,0
Sun Apr 12 05:51:09 2026,173109,6874875,1059077,1176,7933952,0,0
Mon Apr 13 05:51:34 2026,259534,7035259,1001093,1372,8036352,0,0
Tue Apr 14 05:51:58 2026,345958,7197279,863649,811,8060928,0,0
Wed Apr 15 08:25:03 2026,86677,6892337,1254607,1057,8146944,0,0
Fri Apr 17 07:12:54 2026,86682,6677331,1273005,2617,7950336,0,0
Sat Apr 18 09:49:51 2026,86688,6551213,1464659,2402,8015872,0,0
Sun Apr 19 09:50:16 2026,173113,6515105,1500767,3870,8015872,0,0
Tue Apr 21 03:17:30 2026,86684,6698630,1259898,2597,7958528,0,0
Wed Apr 22 03:17:55 2026,173109,6877003,1290421,2299,8167424,0,0
Wed Apr 29 07:00:00 2026,86692,6698657,1509727,2207,8208384,0,0
Fri May  1 03:19:35 2026,86679,7018765,906995,698,7925760,0,0
Sat May  2 03:20:02 2026,173106,6870803,1124589,2074,7995392,0,0
Sun May  3 03:20:28 2026,259532,7087637,1001963,949,8089600,0,0
Mon May  4 03:20:56 2026,345960,7148083,929229,1614,8077312,0,0
Tue May  5 03:21:21 2026,432385,7260966,849114,1098,8110080,0,0
