time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:52:57 2026,86610,15555561,2728983,2111,18284544,0,0
Sun Feb  1 11:53:07 2026,173020,15374099,2980077,3687,18354176,0,0
Thu Feb  5 08:11:48 2026,86609,18254961,7603087,6979,25858048,1,1998848
Thu Feb 12 07:37:45 2026,86610,18229576,3040952,5452,21270528,1,1998848
Mon Mar  2 02:08:11 2026,86610,16070926,5326578,1868,21397504,0,0
Thu Mar  5 08:44:52 2026,86610,15784693,6604043,5221,22388736,0,0
Sat Mar  7 07:58:59 2026,86609,16093952,3075328,2130,19169280,0,0
Sun Mar  8 07:59:10 2026,173020,15903834,3543974,3727,19447808,0,0
Fri Mar 13 06:48:55 2026,86610,16088772,4165948,2080,20254720,0,0
Sat Mar 14 06:49:05 2026,173020,16005639,4007417,3025,20013056,0,0
Sun Mar 15 06:49:16 2026,259431,16116692,4117548,2413,20234240,0,0
Mon Mar 16 06:49:26 2026,345841,15984301,4516179,3294,20500480,0,0
Tue Mar 17 08:42:26 2026,86609,16708467,6032525,5102,22740992,0,0
Fri Mar 20 10:00:57 2026,86610,16894216,3688184,3450,20582400,0,0
Sat Mar 21 10:01:08 2026,173021,17337976,3236232,3094,20574208,0,0
Sun Mar 22 10:01:18 2026,259431,17563025,3285615,2778,20848640,0,0
Thu Apr  9 02:00:44 2026,86610,17936362,3170326,3343,21106688,0,0
Sat Apr 11 05:49:30 2026,86610,18173261,2884275,3568,21057536,0,0
Sun Apr 12 05:49:41 2026,173021,18535276,2784404,3780,21319680,0,0
Mon Apr 13 05:49:52 2026,259432,17710089,3806199,3534,21516288,0,0
Tue Apr 14 05:50:02 2026,345842,17672095,4110433,3651,21782528,0,0
Wed Apr 15 08:23:59 2026,86613,17840943,6182097,4934,24023040,0,0
Fri Apr 17 07:11:45 2026,86613,18221130,4945846,3517,23166976,0,0
Sat Apr 18 09:48:33 2026,86610,17988431,2745521,3844,20733952,0,0
Sun Apr 19 09:48:44 2026,173021,18030279,2879801,3771,20910080,0,0
Tue Apr 21 03:16:16 2026,86610,17652622,3982450,2750,21635072,0,0
Wed Apr 22 03:16:26 2026,173020,17559060,4370924,1931,21929984,0,0
Wed Apr 29 06:58:38 2026,86610,17735365,3653947,3363,21389312,0,0
Fri May  1 03:18:28 2026,86612,18325251,3756285,3497,22081536,0,0
Sat May  2 03:18:38 2026,173022,18390778,4198662,3407,22589440,0,0
Sun May  3 03:18:49 2026,259433,18399108,4104316,3588,22503424,0,0
Mon May  4 03:19:00 2026,345844,18483547,4036261,3039,22519808,0,0
Tue May  5 03:19:10 2026,432254,18501320,4092216,2857,22593536,0,0
