time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:55:10 2026,86743,38218230,36845066,1003,75063296,0,0
Sun Feb  1 11:55:20 2026,173153,38218948,36844348,998,75063296,0,0
Thu Feb  5 08:13:35 2026,86716,20398564,56507932,964,76906496,0,0
Thu Feb 12 07:40:00 2026,86745,39024456,36317368,719,75341824,0,0
Mon Mar  2 02:10:06 2026,86725,38780315,35930725,823,74711040,0,0
Thu Mar  5 08:46:56 2026,86734,19995714,59012030,837,79007744,0,0
Sat Mar  7 08:00:39 2026,86709,39041659,38000005,971,77041664,0,0
Sun Mar  8 08:00:49 2026,173119,39128962,37912702,878,77041664,0,0
Fri Mar 13 06:50:50 2026,86725,38766179,36919709,787,75685888,0,0
Sat Mar 14 06:51:01 2026,173136,38660904,37303512,792,75964416,0,0
Sun Mar 15 06:51:12 2026,259547,38661386,37303030,790,75964416,0,0
Mon Mar 16 06:51:22 2026,345957,38304990,37790498,2210,76095488,0,0
Tue Mar 17 08:44:10 2026,86713,38466141,37031331,683,75497472,0,0
Fri Mar 20 10:02:37 2026,86710,38483842,36808830,647,75292672,0,0
Sat Mar 21 10:02:47 2026,173120,38729456,36505872,463,75235328,0,0
Sun Mar 22 10:02:58 2026,259531,38728491,36506837,473,75235328,0,0
Thu Apr  9 02:02:49 2026,86735,39125230,39681810,933,78807040,1,4096
Sat Apr 11 05:51:27 2026,86727,25541251,63792509,8494,89333760,1,4096
Sun Apr 12 05:51:38 2026,173138,29728743,57004057,6439,86732800,1,4096
Mon Apr 13 05:51:49 2026,259549,32639222,62342922,6046,94982144,1,4096
Tue Apr 14 05:52:01 2026,345961,27581332,66921580,9140,94502912,1,4096
Wed Apr 15 08:25:59 2026,86733,26081630,51676834,9221,77758464,0,0
Fri Apr 17 07:13:23 2026,86711,28040518,64156346,6413,92196864,2,8192
Sat Apr 18 09:50:34 2026,86731,26385184,64242912,5996,90628096,0,0
Sun Apr 19 09:50:44 2026,173141,26994286,63965586,8703,90959872,0,0
Tue Apr 21 03:18:15 2026,86729,32063855,61705873,5070,93769728,0,0
Wed Apr 22 03:18:26 2026,173140,27303208,65762008,7326,93065216,0,0
Wed Apr 29 07:00:26 2026,86718,25909121,62048383,13593,87957504,0,0
Fri May  1 03:20:34 2026,86738,27203615,66541537,8718,93745152,0,0
Sat May  2 03:20:45 2026,173149,30859278,62885874,5870,93745152,0,0
Sun May  3 03:20:56 2026,259560,27079205,66665947,7758,93745152,0,0
Mon May  4 03:21:07 2026,345971,28081212,67638212,8779,95719424,0,0
Tue May  5 03:21:18 2026,432382,31187841,62557311,5805,93745152,0,0
