time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:54:26 2026,86699,4926146,1316158,2014,6242304,0,0
Sun Feb  1 11:54:36 2026,173109,4946322,1295982,1898,6242304,0,0
Thu Feb  5 08:13:17 2026,86698,5859191,1312905,472,7172096,0,0
Thu Feb 12 07:39:15 2026,86700,5510897,1640719,1521,7151616,0,0
Mon Mar  2 02:09:41 2026,86700,5098680,1401672,761,6500352,0,0
Thu Mar  5 08:46:19 2026,86697,5546753,1686783,854,7233536,0,0
Sat Mar  7 08:00:27 2026,86697,5019497,1620119,1843,6639616,0,0
Sun Mar  8 08:00:38 2026,173108,5014517,1625099,1936,6639616,0,0
Fri Mar 13 06:50:28 2026,86703,5088631,1538697,1449,6627328,0,0
Sat Mar 14 06:50:38 2026,173113,5108310,1920426,1669,7028736,0,0
Sun Mar 15 06:50:49 2026,259524,5081840,1946896,2180,7028736,0,0
Mon Mar 16 06:50:59 2026,345934,5337998,1690738,792,7028736,0,0
Tue Mar 17 08:43:50 2026,86693,5325640,1350840,516,6676480,0,0
Fri Mar 20 10:02:26 2026,86699,5173279,1384417,582,6557696,0,0
Sat Mar 21 10:02:36 2026,173109,4891716,1665980,1799,6557696,0,0
Sun Mar 22 10:02:47 2026,259520,4903738,1653958,1689,6557696,0,0
Thu Apr  9 02:02:14 2026,86700,5030160,1785584,1405,6815744,1,4096
Sat Apr 11 05:50:58 2026,86698,5502758,1579226,1219,7081984,1,4096
Sun Apr 12 05:51:08 2026,173108,5527395,1554589,975,7081984,1,4096
Mon Apr 13 05:51:19 2026,259519,5651568,1430416,935,7081984,1,4096
Tue Apr 14 05:51:30 2026,345930,5658707,1423277,996,7081984,1,4096
Wed Apr 15 08:25:26 2026,86700,5438685,1598243,1410,7036928,1,4096
Fri Apr 17 07:13:12 2026,86700,5752828,1906692,1067,7659520,1,4096
Sat Apr 18 09:50:06 2026,86703,5416010,1661878,1298,7077888,0,0
Sun Apr 19 09:50:17 2026,173114,5173826,1834430,1373,7008256,0,0
Tue Apr 21 03:17:57 2026,86711,5624103,1400537,899,7024640,0,0
Wed Apr 22 03:18:08 2026,173122,5793952,1337184,725,7131136,0,0
Wed Apr 29 07:00:27 2026,86719,5538093,1621715,1500,7159808,0,0
Fri May  1 03:19:57 2026,86701,5478090,1906998,2006,7385088,0,0
Sat May  2 03:20:08 2026,173112,5506934,1878154,1598,7385088,0,0
Sun May  3 03:20:19 2026,259523,5553536,1831552,1884,7385088,0,0
Mon May  4 03:20:30 2026,345934,5663833,1721255,878,7385088,0,0
Tue May  5 03:20:41 2026,432345,5644522,1740566,1031,7385088,0,0
