time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:53:46 2026,86659,3266034,1825294,2160,5091328,0,0
Sun Feb  1 11:53:56 2026,173069,3266251,1825077,2147,5091328,0,0
Thu Feb  5 08:12:40 2026,86661,3467503,1509137,1858,4976640,0,0
Thu Feb 12 07:38:38 2026,86663,3283126,1320778,2552,4603904,0,0
Mon Mar  2 02:09:02 2026,86661,3298810,1817094,2348,5115904,0,0
Thu Mar  5 08:45:46 2026,86664,3417216,1584000,1930,5001216,0,0
Sat Mar  7 07:59:53 2026,86663,3269100,1801748,2079,5070848,0,0
Sun Mar  8 08:00:03 2026,173073,3268664,1802184,2071,5070848,0,0
Fri Mar 13 06:49:46 2026,86661,3295251,1996781,2408,5292032,0,0
Sat Mar 14 06:49:56 2026,173071,3308155,1983877,2290,5292032,0,0
Sun Mar 15 06:50:06 2026,259481,3307895,1984137,2293,5292032,0,0
Mon Mar 16 06:50:17 2026,345892,3307629,1984403,2287,5292032,0,0
Tue Mar 17 08:43:16 2026,86660,3294109,1907811,2139,5201920,0,0
Fri Mar 20 10:01:49 2026,86662,3285757,1768707,1809,5054464,0,0
Sat Mar 21 10:01:59 2026,173072,3282879,1771585,1811,5054464,0,0
Sun Mar 22 10:02:10 2026,259483,3283496,1770968,1800,5054464,0,0
Thu Apr  9 02:01:35 2026,86661,3316448,1692960,2294,5009408,0,0
Sat Apr 11 05:50:27 2026,86667,3450174,1755842,1422,5206016,0,0
Sun Apr 12 05:50:37 2026,173077,3463255,1611689,1449,5074944,0,0
Mon Apr 13 05:50:48 2026,259488,3442980,1754844,1552,5197824,0,0
Tue Apr 14 05:50:58 2026,345898,3459975,1737849,1899,5197824,0,0
Wed Apr 15 08:24:51 2026,86665,3447284,1828364,1636,5275648,0,0
Fri Apr 17 07:12:36 2026,86664,3487345,1710479,1402,5197824,0,0
Sat Apr 18 09:49:31 2026,86668,3455557,1603003,1268,5058560,0,0
Sun Apr 19 09:49:42 2026,173079,3452901,1605659,1330,5058560,0,0
Tue Apr 21 03:17:09 2026,86663,3499167,1833825,1358,5332992,0,0
Wed Apr 22 03:17:19 2026,173073,3481860,1851132,1367,5332992,0,0
Wed Apr 29 06:59:33 2026,86665,3462906,1788166,1525,5251072,0,0
Fri May  1 03:19:19 2026,86663,3412687,1789233,1954,5201920,0,0
Sat May  2 03:19:29 2026,173073,3480434,1590414,1390,5070848,0,0
Sun May  3 03:19:39 2026,259483,3411829,1790091,1664,5201920,0,0
Mon May  4 03:19:50 2026,345894,3414177,1787743,1651,5201920,0,0
Tue May  5 03:20:00 2026,432304,3430609,1771311,1719,5201920,1,1052672
