time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:53:58 2026,86671,11661524,10497836,1794,22159360,0,0
Sun Feb  1 11:54:09 2026,173082,11938817,10241023,1571,22179840,0,0
Thu Feb  5 08:12:50 2026,86671,13794942,13623682,1779,27418624,0,0
Thu Feb 12 07:38:45 2026,86670,13596708,14944220,2525,28540928,0,0
Mon Mar  2 02:09:16 2026,86675,13278031,9847985,1881,23126016,0,0
Thu Mar  5 08:45:59 2026,86677,13597829,17810299,2278,31408128,0,0
Sat Mar  7 08:00:06 2026,86676,12900702,15718050,2645,28618752,0,0
Sun Mar  8 08:00:16 2026,173086,13123250,15511886,2262,28635136,0,0
Fri Mar 13 06:50:00 2026,86675,12796032,8908672,3024,21704704,0,0
Sat Mar 14 06:50:11 2026,173086,13115557,8634203,2571,21749760,0,0
Sun Mar 15 06:50:21 2026,259496,12709055,9040705,3278,21749760,0,0
Mon Mar 16 06:50:31 2026,345906,13705118,8044642,2099,21749760,0,0
Tue Mar 17 08:43:30 2026,86673,13471862,22269834,1510,35741696,0,0
Fri Mar 20 10:02:03 2026,86676,13241097,9630967,2998,22872064,0,0
Sat Mar 21 10:02:13 2026,173086,13745733,9195963,2620,22941696,0,0
Sun Mar 22 10:02:24 2026,259497,12723796,10291628,3183,23015424,0,0
Thu Apr  9 02:01:47 2026,86673,13414044,16277860,1876,29691904,0,0
Sat Apr 11 05:50:38 2026,86678,13424779,23357301,3807,36782080,0,0
Sun Apr 12 05:50:48 2026,173088,14059474,22722606,2446,36782080,0,0
Mon Apr 13 05:50:59 2026,259499,14348471,22433609,2125,36782080,0,0
Tue Apr 14 05:51:10 2026,345910,13656752,23125328,3702,36782080,0,0
Wed Apr 15 08:25:01 2026,86675,13699947,16311445,3038,30011392,0,0
Fri Apr 17 07:12:45 2026,86673,13618277,19403675,4667,33021952,0,0
Sat Apr 18 09:49:36 2026,86673,13948597,9587019,1536,23535616,0,0
Sun Apr 19 09:49:47 2026,173084,13705708,9928212,2512,23633920,0,0
Tue Apr 21 03:17:24 2026,86678,14247937,16611327,1534,30859264,0,0
Wed Apr 22 03:17:35 2026,173089,13419568,17673168,3748,31092736,0,0
Wed Apr 29 06:59:42 2026,86674,13411839,15141377,4759,28553216,0,0
Fri May  1 03:19:33 2026,86677,13768119,16964169,2775,30732288,0,0
Sat May  2 03:19:44 2026,173088,13771651,16960637,2434,30732288,0,0
Sun May  3 03:19:55 2026,259499,13645596,17086692,2957,30732288,0,0
Mon May  4 03:20:06 2026,345910,13569440,17162848,3616,30732288,0,0
Tue May  5 03:20:17 2026,432321,13552478,17179810,3262,30732288,0,0
