time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 11:53:37 2026,86650,2925655,613289,1238,3538944,0,0
Sun Feb  1 11:53:50 2026,173063,2950089,588855,1140,3538944,0,0
Thu Feb  5 08:12:28 2026,86649,3058878,746306,1913,3805184,0,0
Thu Feb 12 07:38:25 2026,86651,2936389,663995,1203,3600384,0,0
Mon Mar  2 02:08:50 2026,86649,2861268,706348,1141,3567616,0,0
Thu Mar  5 08:45:30 2026,86648,2924590,683986,1872,3608576,0,0
Sat Mar  7 07:59:38 2026,86648,2893121,690879,1053,3584000,0,0
Sun Mar  8 07:59:52 2026,173062,2894706,689294,1102,3584000,0,0
Fri Mar 13 06:49:33 2026,86648,2879774,659170,1235,3538944,0,0
Sat Mar 14 06:49:46 2026,173061,2913775,666129,1134,3579904,0,0
Sun Mar 15 06:49:59 2026,259474,2913927,665977,1235,3579904,0,0
Mon Mar 16 06:50:13 2026,345888,2936954,642950,1159,3579904,0,0
Tue Mar 17 08:43:06 2026,86649,2890765,664563,1012,3555328,0,0
Fri Mar 20 10:01:37 2026,86650,2890878,631682,1131,3522560,0,0
Sat Mar 21 10:01:50 2026,173063,2886753,635807,1048,3522560,0,0
Sun Mar 22 10:02:03 2026,259476,2884707,637853,1128,3522560,0,0
Thu Apr  9 02:01:24 2026,86650,2932006,647898,1148,3579904,0,0
Sat Apr 11 05:50:12 2026,86652,2983719,579801,1142,3563520,0,0
Sun Apr 12 05:50:25 2026,173065,2991004,572516,1185,3563520,0,0
Mon Apr 13 05:50:39 2026,259479,2998285,581619,1234,3579904,0,0
Tue Apr 14 05:50:53 2026,345893,3022184,578200,1305,3600384,0,0
Wed Apr 15 08:24:37 2026,86651,2966023,654841,1039,3620864,0,0
Fri Apr 17 07:12:21 2026,86649,3037698,574974,1289,3612672,0,0
Sat Apr 18 09:49:13 2026,86650,3069805,792723,1243,3862528,0,0
Sun Apr 19 09:49:27 2026,173064,3071780,790748,1311,3862528,0,0
Tue Apr 21 03:17:03 2026,86657,2963823,759441,1082,3723264,0,0
Wed Apr 22 03:17:18 2026,173072,3005247,758977,1563,3764224,0,0
Wed Apr 29 06:59:29 2026,86661,2956616,565944,1089,3522560,0,0
Fri May  1 03:19:05 2026,86649,2981411,676317,1108,3657728,0,0
Sat May  2 03:19:20 2026,173064,2981810,675918,1080,3657728,0,0
Sun May  3 03:19:35 2026,259479,2981933,675795,1080,3657728,0,0
Mon May  4 03:19:49 2026,345893,2988986,668742,1133,3657728,0,0
Tue May  5 03:20:05 2026,432309,3010731,646997,723,3657728,0,0
