RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
790,2026-05-06 03:46:18,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
789,2026-05-06 03:42:05,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
788,2026-05-06 03:34:59,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
787,2026-05-06 03:32:07,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
786,2026-05-06 03:29:20,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
785,2026-05-06 03:25:44,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
784,2026-05-06 03:25:41,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
783,2026-05-06 03:23:55,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
782,2026-05-06 02:56:21,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
781,2026-05-06 02:52:43,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
780,2026-05-06 02:49:04,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
779,2026-05-06 02:43:02,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
778,2026-05-06 02:39:52,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
777,2026-05-06 02:36:24,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
776,2026-05-06 02:34:06,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
775,2026-05-06 02:30:37,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
774,2026-05-06 02:28:23,DIMM110,Informational,Memory,Asserted,Presence detected
773,2026-05-06 02:28:22,DIMM101,Informational,Memory,Asserted,Presence detected
772,2026-05-06 02:28:22,DIMM100,Informational,Memory,Asserted,Presence detected
771,2026-05-06 02:28:22,DIMM071,Informational,Memory,Asserted,Presence detected
770,2026-05-06 02:28:22,DIMM140,Informational,Memory,Asserted,Presence detected
769,2026-05-06 02:28:22,DIMM120,Informational,Memory,Asserted,Presence detected
768,2026-05-06 02:28:22,DIMM030,Informational,Memory,Asserted,Presence detected
767,2026-05-06 02:28:22,DIMM031,Informational,Memory,Asserted,Presence detected
766,2026-05-06 02:28:22,DIMM121,Informational,Memory,Asserted,Presence detected
765,2026-05-06 02:28:22,DIMM060,Informational,Memory,Asserted,Presence detected
764,2026-05-06 02:28:21,DIMM051,Informational,Memory,Asserted,Presence detected
763,2026-05-06 02:28:21,DIMM050,Informational,Memory,Asserted,Presence detected
762,2026-05-06 02:28:21,DIMM041,Informational,Memory,Asserted,Presence detected
761,2026-05-06 02:28:21,DIMM001,Informational,Memory,Asserted,Presence detected
760,2026-05-06 02:28:21,DIMM040,Informational,Memory,Asserted,Presence detected
759,2026-05-06 02:28:21,DIMM010,Informational,Memory,Asserted,Presence detected
758,2026-05-06 02:28:20,DIMM141,Informational,Memory,Asserted,Presence detected
757,2026-05-06 02:28:20,DIMM011,Informational,Memory,Asserted,Presence detected
756,2026-05-06 02:28:20,DIMM131,Informational,Memory,Asserted,Presence detected
755,2026-05-06 02:28:20,DIMM020,Informational,Memory,Asserted,Presence detected
754,2026-05-06 02:28:20,DIMM111,Informational,Memory,Asserted,Presence detected
