Bug编号,Bug标题,问题等级,优先级,Bug属性,Bug状态,影响版本,指派给,解决者,解决方案,解决版本,解决日期
3495,[金丝雀-EVT][2switch][BMC-V11.02.01.18] bmc界面未能获得NIC光模块温度数据告警,严重,较高,必现问题,激活,2026-04-13 09:52:44,主干(#trunk),,,0000-00-00 00:00:00,
3488,[金丝雀-EVT][4Switch][BMC-V11.02.01.12] BMC web页面fru信息显示异常,严重,较高,必现问题,激活,2026-03-18 11:10:14,主干(#trunk),,,0000-00-00 00:00:00,
3470, [金丝雀-EVT][4Switch][BMC-V11.02.01.10][CPLD无法实现在线升级功能],严重,较高,必现问题,激活,2026-02-06 17:10:02,主干(#trunk),,,0000-00-00 00:00:00,
3469, [金丝雀-EVT][0Switch][BMC-V11.02.01.08][CPLD无法实现在线升级功能],严重,较高,必现问题,激活,2026-02-06 15:21:25,主干(#trunk),,,0000-00-00 00:00:00,
3462,[金丝雀-EVT][0switch][服务器dmesg网卡 HNS3 初始化失败],严重,较高,必现问题,激活,2026-02-05 15:47:04,主干(#trunk),,,0000-00-00 00:00:00,
3497,[金丝雀-EVT][2switch] OS下使用npu-smi info查询npu卡信息，功率显示为NA,严重,较高,必现问题,已解决,2026-04-16 17:44:31,主干(#trunk),已解决,openUBMC_11.02.01.14(#359),2026-04-16 19:32:38,
3487, [金丝雀-EVT][4Switch][SP670网卡重启掉网卡],严重,较高,必现问题,已解决,2026-03-18 10:33:53,主干(#trunk),已解决,4SW CPLD V02(#358),2026-03-18 14:46:11,
3484,[金丝雀-EVT][0Switch][0Switch][BMC-V11.02.01.12][BMC web页面识别不到M.2转接板在位信息],严重,较高,必现问题,已关闭,2026-03-17 11:58:49,openUBMC_11.02.01.12(#354),已解决,V11.02.01.16(#362),2026-04-10 08:50:21,刘帅
3477, [金丝雀-EVT][0Switch][4Switch][BMC-V11.02.01.08][4Switch][BMC-V11.02.01.10]sw板传感器功耗值过大,严重,较高,必现问题,已关闭,2026-02-13 12:01:11,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-02 10:05:28,刘帅
3474,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] BMC web界面硬盘门限传感器温度缺失,严重,较高,必现问题,已关闭,2026-02-06 17:46:52,主干(#trunk),设计如此,,2026-02-11 09:47:05,刘帅
3473, [金丝雀-EVT][规格书文档不符合标准],严重,较高,必现问题,已关闭,2026-02-06 17:36:05,主干(#trunk),已解决,已经上传git(#352),2026-02-25 10:57:30,刘帅
3472,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] BMC web界面硬盘背板门限传感器温度缺失,严重,较高,必现问题,已关闭,2026-02-06 17:29:42,主干(#trunk),不予解决,,2026-02-10 10:19:03,刘帅
3471, [金丝雀-EVT][4Switch][BMC-V11.02.01.10][右挂耳电源开关和UID按键功能异常],严重,较高,必现问题,已关闭,2026-02-06 17:20:47,主干(#trunk),已解决,扩展板CPLDV02(#353),2026-02-26 20:30:10,刘帅
3466,[金丝雀-EVT][4Switch][BMC-V11.02.01.10]BMC界面多项fru缺失,严重,较高,必现问题,已关闭,2026-02-05 17:46:38,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-03 15:01:09,刘帅
3465,[金丝雀-EVT][4Switch][BMC-V11.02.01.10]OS系统下，NPU温度缺失，与BMC门限传感器温度不一致,严重,较高,必现问题,已关闭,2026-02-05 17:34:18,主干(#trunk),已解决,openUBMC_11.02.01.12(#354),2026-03-03 15:18:18,刘帅
3464,[金丝雀-EVT][0Switch][BMC-V11.02.01.08] 机器下电或者reboot，有概率BMC出现风扇告警,严重,较高,必现问题,已关闭,2026-02-05 16:31:41,openUBMC_11.02.01.08.hpm(#349),已解决,已经上传git(#352),2026-03-02 09:55:01,王文超
3463,[金丝雀-EVT][4Switch][BMC-V11.02.01.10] 机器下电，BMC出现风扇告警,严重,较高,必现问题,已关闭,2026-02-05 15:49:35,主干(#trunk),重复Bug,,2026-03-02 10:19:16,刘帅
