NPU19, AiCoreTemp, HBMTemp, NimBusTemp, ReadingCelsius, VRDChipTemp
2026/04/20 03:10:03, 36, 38, 36, 0, 41
2026/04/20 03:20:03, 36, 38, 36, 0, 41
2026/04/20 03:30:03, 36, 39, 37, 0, 41
2026/04/20 03:40:03, 36, 39, 37, 0, 41
2026/04/20 03:50:04, 37, 39, 37, 0, 42
2026/04/20 04:00:04, 37, 39, 37, 0, 42
2026/04/20 04:10:04, 36, 39, 37, 0, 42
2026/04/20 04:20:05, 36, 39, 37, 0, 41
2026/04/20 04:30:05, 35, 37, 36, 0, 40
2026/04/20 04:40:05, 35, 38, 36, 0, 40
2026/04/20 04:50:05, 35, 38, 36, 0, 40
2026/04/20 05:00:06, 36, 38, 36, 0, 41
2026/04/20 05:10:06, 36, 38, 36, 0, 41
2026/04/20 05:20:06, 36, 38, 36, 0, 41
2026/04/20 05:30:06, 36, 38, 36, 0, 41
2026/04/20 05:40:07, 36, 38, 36, 0, 41
2026/04/20 05:50:07, 36, 38, 36, 0, 40
2026/04/20 06:00:07, 36, 38, 36, 0, 41
2026/04/20 06:10:08, 36, 38, 36, 0, 41
2026/04/20 06:20:08, 36, 38, 36, 0, 41
2026/04/20 06:30:08, 36, 38, 36, 0, 41
2026/04/20 06:40:09, 36, 38, 36, 0, 41
2026/04/20 06:50:09, 36, 38, 36, 0, 41
2026/04/20 07:00:10, 36, 38, 36, 0, 41
2026/04/20 07:10:10, 36, 38, 36, 0, 40
2026/04/20 07:20:10, 35, 38, 36, 0, 40
2026/04/20 07:30:11, 35, 37, 35, 0, 40
2026/04/20 07:40:11, 35, 37, 35, 0, 40
2026/04/20 07:50:11, 35, 38, 36, 0, 40
2026/04/20 08:00:12, 35, 37, 35, 0, 40
2026/04/20 08:10:12, 36, 38, 36, 0, 41
2026/04/20 08:20:12, 36, 38, 36, 0, 41
2026/04/20 08:30:13, 36, 38, 36, 0, 41
2026/04/20 08:40:13, 36, 38, 36, 0, 41
2026/04/20 08:50:13, 36, 38, 36, 0, 41
2026/04/20 09:00:14, 36, 38, 36, 0, 41
2026/04/20 09:10:14, 36, 38, 36, 0, 40
2026/04/20 09:20:14, 35, 37, 36, 0, 40
2026/04/20 09:30:15, 35, 37, 35, 0, 40
2026/04/20 09:40:15, 35, 37, 35, 0, 40
2026/04/20 09:50:15, 36, 38, 36, 0, 40
2026/04/20 10:00:16, 36, 38, 36, 0, 41
2026/04/20 10:10:16, 36, 38, 36, 0, 40
2026/04/20 10:20:16, 35, 38, 36, 0, 40
2026/04/20 10:30:17, 36, 38, 36, 0, 41
2026/04/20 10:40:18, 35, 38, 36, 0, 40
2026/04/20 10:50:18, 36, 38, 36, 0, 41
2026/04/20 11:00:19, 36, 38, 36, 0, 41
2026/04/20 11:10:19, 36, 38, 36, 0, 41
2026/04/20 11:20:20, 36, 38, 36, 0, 40
2026/04/20 11:30:21, 35, 38, 36, 0, 40
2026/04/20 11:40:21, 35, 38, 36, 0, 40
2026/04/20 11:50:22, 36, 38, 36, 0, 41
2026/04/20 12:00:22, 35, 38, 36, 0, 40
2026/04/20 12:10:23, 36, 38, 36, 0, 40
2026/04/20 12:20:24, 36, 38, 36, 0, 41
2026/04/20 12:30:24, 36, 38, 36, 0, 41
2026/04/20 12:40:25, 36, 38, 36, 0, 40
2026/04/20 12:50:25, 35, 38, 36, 0, 40
2026/04/20 13:00:26, 36, 38, 36, 0, 40
2026/04/20 13:10:27, 36, 38, 36, 0, 40
2026/04/20 13:20:27, 36, 38, 36, 0, 40
