Optical Module 1, TemperatureCelsius, ReadingCelsius
2026/04/20 03:06:50, 27.98, 27.98
2026/04/20 03:16:51, 28.65, 28.65
2026/04/20 03:26:52, 29.12, 29.12
2026/04/20 03:36:52, 29.25, 29.25
2026/04/20 03:46:53, 29.57, 29.57
2026/04/20 03:56:53, 29.7, 29.7
2026/04/20 04:06:54, 29.56, 29.56
2026/04/20 04:16:54, 29.34, 29.34
2026/04/20 04:26:55, 28.6, 28.6
2026/04/20 04:36:55, 28.1, 28.1
2026/04/20 04:46:56, 28.07, 28.07
2026/04/20 04:56:57, 28.36, 28.36
2026/04/20 05:06:57, 28.76, 28.76
2026/04/20 05:16:58, 28.96, 28.96
2026/04/20 05:26:58, 29.3, 29.3
2026/04/20 05:36:59, 28.47, 28.47
2026/04/20 05:47:00, 28.49, 28.49
2026/04/20 05:57:00, 28.52, 28.52
2026/04/20 06:07:01, 28.57, 28.57
2026/04/20 06:17:02, 28.79, 28.79
2026/04/20 06:27:02, 28.71, 28.71
2026/04/20 06:37:03, 28.81, 28.81
2026/04/20 06:47:03, 28.71, 28.71
2026/04/20 06:57:04, 28.58, 28.58
2026/04/20 07:07:04, 28.13, 28.13
2026/04/20 07:17:05, 27.98, 27.98
2026/04/20 07:27:06, 27.63, 27.63
2026/04/20 07:37:06, 27.45, 27.45
2026/04/20 07:47:07, 27.82, 27.82
2026/04/20 07:57:07, 27.64, 27.64
2026/04/20 08:07:08, 27.86, 27.86
2026/04/20 08:17:09, 28.38, 28.38
2026/04/20 08:27:09, 28.24, 28.24
2026/04/20 08:37:10, 28.07, 28.07
2026/04/20 08:47:10, 28.06, 28.06
2026/04/20 08:57:11, 28.2, 28.2
2026/04/20 09:07:12, 27.7, 27.7
2026/04/20 09:17:12, 27.43, 27.43
2026/04/20 09:27:13, 27.27, 27.27
2026/04/20 09:37:14, 27.2, 27.2
2026/04/20 09:47:14, 27.46, 27.46
2026/04/20 09:57:15, 28, 28
2026/04/20 10:07:16, 27.64, 27.64
2026/04/20 10:17:16, 27.3, 27.3
2026/04/20 10:27:17, 27.41, 27.41
2026/04/20 10:37:17, 27.4, 27.4
2026/04/20 10:47:18, 27.53, 27.53
2026/04/20 10:57:19, 27.49, 27.49
2026/04/20 11:07:19, 27.52, 27.52
2026/04/20 11:17:20, 27.51, 27.51
2026/04/20 11:27:20, 27.43, 27.43
2026/04/20 11:37:21, 27.39, 27.39
2026/04/20 11:47:21, 27.37, 27.37
2026/04/20 11:57:22, 27.51, 27.51
2026/04/20 12:07:23, 27.32, 27.32
2026/04/20 12:17:23, 27.43, 27.43
2026/04/20 12:27:24, 27.54, 27.54
2026/04/20 12:37:24, 27.45, 27.45
2026/04/20 12:47:25, 27.43, 27.43
2026/04/20 12:57:25, 27.38, 27.38
2026/04/20 13:07:26, 27.46, 27.46
2026/04/20 13:17:27, 27.31, 27.31
