RecordId SelType Timestamp GenerateId SelMsgVersion SensorType SensorNumber SelEventType SelData1 SelData2 SelData3 SensorId SensorName SubjectName RecordSeq
3907 2 1776654136 32 4 40 2 239 0 250 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73441
3906 2 1776654136 32 4 40 2 239 0 242 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73440
3905 2 1776654136 32 4 40 2 239 0 227 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73439
3904 2 1776654136 32 4 40 2 239 0 226 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73438
3903 2 1776654136 32 4 40 2 239 0 219 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73437
3902 2 1776654133 32 4 40 2 239 0 234 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73436
3901 2 1776654133 32 4 40 2 239 0 246 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73435
3900 2 1776654131 32 4 40 2 239 0 238 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73434
3899 2 1776653983 32 4 40 2 111 0 246 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73433
3898 2 1776653983 32 4 40 2 111 0 250 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73432
3897 2 1776653982 32 4 40 2 111 0 242 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73431
3896 2 1776653982 32 4 40 2 111 0 238 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73430
3895 2 1776653982 32 4 40 2 111 0 234 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73429
3894 2 1776653982 32 4 40 2 111 0 227 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73428
3893 2 1776653981 32 4 40 2 111 0 226 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73427
3892 2 1776653981 32 4 40 2 111 0 219 0 DiscreteSensor_MngmntHealth_00 Mngmnt Health MainBoard 73426
3891 2 1776653954 32 4 29 3 111 199 0 0 DiscreteSensor_SysRestart_00 SysRestart MainBoard 73425
3890 2 1776653954 32 4 12 76 111 6 255 22 DiscreteSensor_DIMM061_01010117 DIMM061 DIMM061 73424
3889 2 1776653954 32 4 12 78 111 6 255 23 DiscreteSensor_DIMM070_01010117 DIMM070 DIMM070 73423
3888 2 1776653954 32 4 12 94 111 6 255 32 DiscreteSensor_DIMM171_01010117 DIMM171 DIMM171 73422
3887 2 1776653953 32 4 12 101 111 6 255 24 DiscreteSensor_DIMM071_01010117 DIMM071 DIMM071 73421
3886 2 1776653953 32 4 12 90 111 6 255 17 DiscreteSensor_DIMM040_01010117 DIMM040 DIMM040 73420
3885 2 1776653953 32 4 12 75 111 6 255 18 DiscreteSensor_DIMM041_01010117 DIMM041 DIMM041 73419
3884 2 1776653953 32 4 12 77 111 6 255 19 DiscreteSensor_DIMM050_01010117 DIMM050 DIMM050 73418
3883 2 1776653953 32 4 12 92 111 6 255 4 DiscreteSensor_DIMM011_01010117 DIMM011 DIMM011 73417
3882 2 1776653953 32 4 12 73 111 6 255 21 DiscreteSensor_DIMM060_01010117 DIMM060 DIMM060 73416
3881 2 1776653952 32 4 12 88 111 6 255 16 DiscreteSensor_DIMM131_01010117 DIMM131 DIMM131 73415
3880 2 1776653952 32 4 12 87 111 6 255 15 DiscreteSensor_DIMM130_01010117 DIMM130 DIMM130 73414
3879 2 1776653952 32 4 12 86 111 6 255 14 DiscreteSensor_DIMM121_01010117 DIMM121 DIMM121 73413
3878 2 1776653951 32 4 12 85 111 6 255 13 DiscreteSensor_DIMM120_01010117 DIMM120 DIMM120 73412
3877 2 1776653951 32 4 12 97 111 6 255 28 DiscreteSensor_DIMM151_01010117 DIMM151 DIMM151 73411
3876 2 1776653951 32 4 12 96 111 6 255 29 DiscreteSensor_DIMM160_01010117 DIMM160 DIMM160 73410
3875 2 1776653950 32 4 12 103 111 6 255 31 DiscreteSensor_DIMM170_01010117 DIMM170 DIMM170 73409
3874 2 1776653950 32 4 12 99 111 6 255 26 DiscreteSensor_DIMM141_01010117 DIMM141 DIMM141 73408
3873 2 1776653948 32 4 12 95 111 6 255 30 DiscreteSensor_DIMM161_01010117 DIMM161 DIMM161 73407
3872 2 1776653948 32 4 12 80 111 6 255 12 DiscreteSensor_DIMM111_01010117 DIMM111 DIMM111 73406
3871 2 1776653947 32 4 12 100 111 6 255 25 DiscreteSensor_DIMM140_01010117 DIMM140 DIMM140 73405
3870 2 1776653946 32 4 12 89 111 6 255 1 DiscreteSensor_DIMM000_01010117 DIMM000 DIMM000 73404
3869 2 1776653946 32 4 12 98 111 6 255 27 DiscreteSensor_DIMM150_01010117 DIMM150 DIMM150 73403
3868 2 1776653946 32 4 12 79 111 6 255 7 DiscreteSensor_DIMM030_01010117 DIMM030 DIMM030 73402
3867 2 1776653946 32 4 12 82 111 6 255 6 DiscreteSensor_DIMM021_01010117 DIMM021 DIMM021 73401
3866 2 1776653945 32 4 12 81 111 6 255 3 DiscreteSensor_DIMM010_01010117 DIMM010 DIMM010 73400
3865 2 1776653945 32 4 12 74 111 6 255 8 DiscreteSensor_DIMM031_01010117 DIMM031 DIMM031 73399
3864 2 1776653945 32 4 12 83 111 6 255 9 DiscreteSensor_DIMM100_01010117 DIMM100 DIMM100 73398
3863 2 1776653944 32 4 12 72 111 6 255 11 DiscreteSensor_DIMM110_01010117 DIMM110 DIMM110 73397
3862 2 1776653944 32 4 12 91 111 6 255 2 DiscreteSensor_DIMM001_01010117 DIMM001 DIMM001 73396
3861 2 1776653943 32 4 12 84 111 6 255 10 DiscreteSensor_DIMM101_01010117 DIMM101 DIMM101 73395
3860 2 1776653942 32 4 12 93 111 6 255 5 DiscreteSensor_DIMM020_01010117 DIMM020 DIMM020 73394
3859 2 1776653938 32 4 12 102 111 6 255 20 DiscreteSensor_DIMM051_01010117 DIMM051 DIMM051 73393
3858 2 1776653859 32 4 13 178 111 0 255 255 DiscreteSensor_Disk0_01010D DISK0 Disk0 73392
3857 2 1776653859 32 4 13 180 111 0 255 255 DiscreteSensor_Disk1_01010D DISK1 Disk1 73391
3856 2 1776653856 32 4 13 176 111 0 255 255 DiscreteSensor_Disk3_01010C DISK3 Disk3 73390
3855 2 1776653856 32 4 13 175 111 0 255 255 DiscreteSensor_Disk2_01010C DISK2 Disk2 73389
3854 2 1776653856 32 4 13 174 111 0 255 255 DiscreteSensor_Disk1_01010C DISK1 Disk1 73388
3853 2 1776653856 32 4 13 177 111 0 255 255 DiscreteSensor_Disk0_01010C DISK0 Disk0 73387
3852 2 1776653854 32 4 13 171 111 0 255 255 DiscreteSensor_Disk1_010102 DISK1 Disk1 73386
3851 2 1776653854 32 4 13 172 111 0 255 255 DiscreteSensor_Disk3_010102 DISK3 Disk3 73385
3850 2 1776653853 32 4 13 173 111 0 255 255 DiscreteSensor_Disk0_010102 DISK0 Disk0 73384
3849 2 1776653853 32 4 13 170 111 0 255 255 DiscreteSensor_Disk2_010102 DISK2 Disk2 73383
3848 2 1776653846 32 4 8 150 111 0 255 255 DiscreteSensor_PsStatus_01011001 PS1 Status PowerSupply1 73382
3847 2 1776653844 32 4 8 141 111 0 255 255 DiscreteSensor_PsStatus_01011003 PS3 Status PowerSupply3 73381
3846 2 1776653842 32 4 8 131 111 0 255 255 DiscreteSensor_PsStatus_01011002 PS2 Status PowerSupply2 73380
3845 2 1776653839 32 4 8 122 111 0 255 255 DiscreteSensor_PsStatus_01010F01 PS4 Status PowerSupply4 73379
3844 2 1776653836 32 4 8 114 111 0 255 255 DiscreteSensor_PsStatus_01010F02 PS5 Status PowerSupply5 73378
