time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 10:00:50 2026,87342,19510686,5024354,5325,24535040,2,532480
Sun Feb  1 10:11:56 2026,174408,19072969,5486647,10908,24559616,2,532480
Tue Feb  3 11:51:45 2026,103298,20638160,12572208,10048,33210368,4,671744
Thu Feb  5 03:50:30 2026,87444,18129244,3735204,7046,21864448,2,532480
Sat Feb  7 09:25:49 2026,87584,19263317,3776683,8941,23040000,2,532480
Sun Feb  8 09:41:23 2026,174918,20760018,2681390,7498,23441408,2,532480
Thu Feb 12 09:21:36 2026,87341,20441279,2041665,5131,22482944,3,536576
Wed Feb 18 09:06:15 2026,87113,14875854,2356018,6399,17231872,2,532480
Thu Feb 19 09:13:45 2026,173963,14899187,2332685,5916,17231872,2,532480
Fri Feb 20 09:21:35 2026,260823,15017776,2214096,5265,17231872,2,532480
Sat Feb 21 09:29:22 2026,347690,15048839,2183033,5506,17231872,2,532480
Sun Feb 22 09:37:06 2026,434554,15102271,2129601,5331,17231872,2,532480
Mon Feb 23 09:45:02 2026,521430,15108385,2123487,5655,17231872,2,532480
Tue Feb 24 09:54:12 2026,608370,18193196,4101332,9237,22294528,2,532480
Wed Feb 25 10:04:54 2026,695412,19101852,3929956,5613,23031808,2,532480
Fri Feb 27 03:39:41 2026,87218,17399146,3478166,7880,20877312,3,536576
Wed Mar  4 02:18:33 2026,145454,15970721,1961567,4602,17932288,2,8192
Thu Mar  5 07:03:00 2026,87165,15829670,4658522,6509,20488192,2,532480
Sat Mar  7 08:16:03 2026,87235,17384451,2522109,8650,19906560,2,532480
Sun Mar  8 08:25:56 2026,174228,17155810,2836766,12224,19992576,2,532480
Thu Mar 12 08:06:26 2026,87249,17435279,2876785,7927,20312064,2,532480
Fri Mar 13 08:16:04 2026,174227,17754195,3717037,9435,21471232,2,532480
Sat Mar 14 08:25:35 2026,261198,18078344,3413368,10642,21491712,2,532480
Sun Mar 15 08:35:22 2026,348185,17889516,3663636,11062,21553152,2,532480
Mon Mar 16 08:45:08 2026,435171,18151467,3819477,7784,21970944,2,532480
Tue Mar 17 08:55:11 2026,522174,18142848,3697024,8818,21839872,2,532480
Sat Mar 21 14:41:26 2026,87178,15727277,2442579,7094,18169856,2,532480
Sun Mar 22 14:49:56 2026,174088,15617006,2642962,8822,18259968,2,532480
Tue Mar 24 09:14:21 2026,87199,15862330,2504134,8372,18366464,2,532480
Sat Mar 28 09:01:56 2026,87245,18187129,2215047,4598,20402176,2,532480
Sun Mar 29 09:11:38 2026,174227,17594039,2836809,6769,20430848,2,532480
Mon Mar 30 09:21:16 2026,261205,17764850,2899470,10951,20664320,2,532480
Fri Apr  3 02:36:00 2026,87272,18100249,2654183,6120,20754432,2,532480
Sat Apr  4 02:46:15 2026,174287,18464938,3215190,5034,21680128,2,532480
Sun Apr  5 02:56:14 2026,261286,18220173,3459955,7695,21680128,2,532480
Mon Apr  6 03:06:11 2026,348283,18761306,2918822,3950,21680128,2,532480
Tue Apr  7 03:16:05 2026,435277,18847784,2832344,4509,21680128,2,532480
Wed Apr  8 03:29:14 2026,522456,20679521,3097759,6233,23777280,2,532480
Thu Apr  9 10:21:50 2026,87246,20413466,1405926,3294,21819392,3,536576
Fri Apr 10 10:31:17 2026,174213,20402401,1806111,4147,22208512,3,536576
Sat Apr 11 10:40:42 2026,261178,20338553,1923207,4764,22261760,3,536576
Sun Apr 12 10:50:05 2026,348141,20231227,2051013,8617,22282240,3,536576
Mon Apr 13 10:59:32 2026,435108,20359240,2049976,5872,22409216,3,536576
Tue Apr 14 11:08:59 2026,522075,20342356,2070956,7727,22413312,3,536576
Fri Apr 17 06:32:33 2026,87252,20369733,2657979,5499,23027712,3,536576
Sat Apr 18 07:57:44 2026,87280,20523401,2279031,4375,22802432,3,536576
Sun Apr 19 08:07:50 2026,174286,20703334,2099098,3699,22802432,3,536576
