time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:49:34 2026,86666,6152465,949999,1055,7102464,0,0
Sun Feb  1 09:49:49 2026,173081,6209439,819297,1038,7028736,0,0
Tue Feb  3 11:37:28 2026,102441,6318178,1910686,1486,8228864,0,0
Thu Feb  5 03:37:42 2026,86676,6425935,946865,926,7372800,0,0
Sat Feb  7 09:10:34 2026,86670,6429158,697882,1202,7127040,0,0
Sun Feb  8 09:10:58 2026,173093,6634484,627724,520,7262208,0,0
Thu Feb 12 09:10:29 2026,86674,6374175,744673,748,7118848,0,0
Wed Feb 18 08:59:17 2026,86695,5392284,1759332,2218,7151616,0,0
Thu Feb 19 08:59:28 2026,173106,5416887,1763401,2639,7180288,0,0
Fri Feb 20 08:59:50 2026,259518,5663788,1536980,1664,7200768,0,0
Sat Feb 21 09:00:01 2026,345929,5813097,1387671,1338,7200768,0,0
Sun Feb 22 09:00:13 2026,432341,5798737,1414319,1594,7213056,0,0
Mon Feb 23 09:00:24 2026,518752,5703389,1534243,2370,7237632,0,0
Tue Feb 24 09:00:48 2026,605166,6495877,1331579,991,7827456,0,0
Wed Feb 25 09:01:03 2026,691581,6439380,1388076,1462,7827456,0,0
Fri Feb 27 03:30:15 2026,86653,5887012,1747932,2236,7634944,0,0
Wed Mar  4 02:09:57 2026,144938,5520021,1996139,2452,7516160,0,0
Thu Mar  5 06:54:33 2026,86658,5667086,1115890,1523,6782976,0,0
Sat Mar  7 08:06:33 2026,86665,6312556,1215892,1582,7528448,0,0
Sun Mar  8 08:06:47 2026,173079,6557309,1028483,776,7585792,0,0
Thu Mar 12 07:56:46 2026,86669,6316201,552791,316,6868992,0,0
Fri Mar 13 07:57:01 2026,173084,6437543,574809,318,7012352,0,0
Sat Mar 14 07:57:15 2026,259498,6254192,795024,976,7049216,0,0
Sun Mar 15 07:57:30 2026,345913,6361421,900787,1359,7262208,0,0
Mon Mar 16 07:57:44 2026,432327,6570662,834906,821,7405568,0,0
Tue Mar 17 07:57:58 2026,518741,6650041,821063,909,7471104,0,0
Sat Mar 21 14:32:50 2026,86662,5977945,944295,944,6922240,0,0
Sun Mar 22 14:33:00 2026,173072,5866910,1092194,1931,6959104,0,0
Tue Mar 24 09:05:24 2026,86662,5767190,1183722,1353,6950912,0,0
Sat Mar 28 08:52:25 2026,86674,6481094,691002,455,7172096,0,0
Sun Mar 29 08:52:41 2026,173090,6507524,812028,1687,7319552,0,0
Mon Mar 30 08:52:56 2026,259505,6525696,802048,1339,7327744,0,0
Fri Apr  3 02:26:03 2026,86675,6257896,1311512,1911,7569408,0,0
Sat Apr  4 02:26:18 2026,173090,6375619,1292093,2954,7667712,0,0
Sun Apr  5 02:26:34 2026,259506,6716987,1159621,1387,7876608,0,0
Mon Apr  6 02:26:49 2026,345921,6670997,1246571,2072,7917568,0,0
Tue Apr  7 02:27:05 2026,432337,6834735,1209809,2596,8044544,0,0
Wed Apr  8 02:27:36 2026,518758,7186805,964235,535,8151040,0,0
Thu Apr  9 10:12:10 2026,86666,7255831,1050857,525,8306688,0,0
Fri Apr 10 10:12:25 2026,173081,7291037,1122147,879,8413184,0,0
Sat Apr 11 10:12:39 2026,259495,7533042,1007118,990,8540160,0,0
Sun Apr 12 10:12:55 2026,345911,7346772,1254828,1689,8601600,0,0
Mon Apr 13 10:13:09 2026,432325,7559024,1132688,807,8691712,0,0
Tue Apr 14 10:13:24 2026,518740,7647183,1052721,989,8699904,0,0
Fri Apr 17 06:23:20 2026,86699,6202649,1133287,1399,7335936,0,0
Sat Apr 18 07:47:57 2026,86693,6663637,811563,410,7475200,0,0
Sun Apr 19 07:48:11 2026,173107,6612373,985707,1115,7598080,0,0
