time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:50:25 2026,86717,38469159,36938201,922,75407360,0,0
Sun Feb  1 09:50:36 2026,173128,38472812,36893588,713,75366400,0,0
Tue Feb  3 11:38:22 2026,102495,19781752,57137032,1004,76918784,1,4096
Thu Feb  5 03:38:47 2026,86741,19753691,55862565,1568,75616256,1,4096
Sat Feb  7 09:11:39 2026,86734,19457009,55987215,1069,75444224,0,0
Sun Feb  8 09:11:50 2026,173145,19909469,55534755,1218,75444224,0,0
Thu Feb 12 09:11:21 2026,86726,39000981,39605355,880,78606336,0,0
Wed Feb 18 08:59:41 2026,86719,45945541,27979067,716,73924608,0,0
Thu Feb 19 08:59:51 2026,173129,45947989,27976619,695,73924608,0,0
Fri Feb 20 09:00:11 2026,259539,45947891,27976717,695,73924608,0,0
Sat Feb 21 09:00:21 2026,345949,45948082,27976526,705,73924608,0,0
Sun Feb 22 09:00:32 2026,432360,45956812,27967796,711,73924608,0,0
Mon Feb 23 09:00:42 2026,518770,45960288,27964320,692,73924608,0,0
Tue Feb 24 09:01:04 2026,605182,19953921,54634239,756,74588160,0,0
Wed Feb 25 09:01:15 2026,691593,19623583,55116129,1718,74739712,0,0
Fri Feb 27 03:31:42 2026,86739,19538701,57920755,764,77459456,0,0
Wed Mar  4 02:10:54 2026,144995,19614746,56685542,750,76300288,0,0
Thu Mar  5 06:55:35 2026,86720,19451386,56865286,1229,76316672,0,0
Sat Mar  7 08:07:39 2026,86731,38509583,36594673,585,75104256,0,0
Sun Mar  8 08:07:49 2026,173141,38523480,36580776,615,75104256,0,0
Thu Mar 12 07:57:28 2026,86711,38493562,36606598,784,75100160,0,0
Fri Mar 13 07:57:38 2026,173121,18900819,56354989,1256,75255808,0,0
Sat Mar 14 07:57:49 2026,259532,18985530,56270278,1083,75255808,0,0
Sun Mar 15 07:57:59 2026,345942,18985538,56270270,1085,75255808,0,0
Mon Mar 16 07:58:10 2026,432353,20097508,57587228,2053,77684736,0,0
Tue Mar 17 07:58:21 2026,518764,19768423,58612633,1068,78381056,0,0
Sat Mar 21 14:34:12 2026,86744,45886321,27870351,528,73756672,0,0
Sun Mar 22 14:34:22 2026,173154,45909890,27904126,578,73814016,0,0
Tue Mar 24 09:06:35 2026,86733,38500069,37554459,825,76054528,0,0
Sat Mar 28 08:53:00 2026,86709,19989306,55545030,636,75534336,0,0
Sun Mar 29 08:53:10 2026,173119,19992559,55541777,621,75534336,0,0
Mon Mar 30 08:53:21 2026,259530,19730019,56521117,1008,76251136,0,0
Fri Apr  3 02:26:49 2026,86721,38744413,38076067,1236,76820480,0,0
Sat Apr  4 02:26:59 2026,173131,39168634,38684038,1606,77852672,0,0
Sun Apr  5 02:27:10 2026,259542,39169237,38683435,1594,77852672,0,0
Mon Apr  6 02:27:21 2026,345953,39169951,38682721,1583,77852672,0,0
Tue Apr  7 02:27:31 2026,432363,39237603,38299677,1312,77537280,0,0
Wed Apr  8 02:27:53 2026,518775,20408968,57341304,1007,77750272,0,0
Thu Apr  9 10:13:19 2026,86735,38849303,38798569,1010,77647872,0,0
Fri Apr 10 10:13:30 2026,173146,39361592,38335432,608,77697024,0,0
Sat Apr 11 10:13:40 2026,259556,39363335,38333689,596,77697024,0,0
Sun Apr 12 10:13:50 2026,345966,39366144,38330880,581,77697024,0,0
Mon Apr 13 10:14:01 2026,432377,39012715,38663829,1548,77676544,0,0
Tue Apr 14 10:14:12 2026,518788,38964604,38834820,1398,77799424,0,0
Fri Apr 17 06:23:26 2026,86705,19968583,58465721,2130,78434304,0,0
Sat Apr 18 07:48:20 2026,86716,39074063,36308721,1067,75382784,0,0
Sun Apr 19 07:48:31 2026,173127,39074775,36308009,1055,75382784,0,0
