time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:50:13 2026,86705,5068850,1517518,2033,6586368,1,274432
Sun Feb  1 09:50:24 2026,173116,5187237,1399131,1198,6586368,1,274432
Tue Feb  3 11:38:03 2026,102476,5629014,1416106,1546,7045120,1,249856
Thu Feb  5 03:38:19 2026,86713,6399613,899459,453,7299072,1,208896
Sat Feb  7 09:11:06 2026,86701,5677809,1084687,674,6762496,1,172032
Sun Feb  8 09:11:18 2026,173113,5697340,1196228,545,6893568,1,172032
Thu Feb 12 09:10:53 2026,86698,5483356,1279140,1527,6762496,1,143360
Wed Feb 18 08:59:18 2026,86696,4893007,1554097,1503,6447104,0,0
Thu Feb 19 08:59:29 2026,173107,4945958,1501146,1210,6447104,0,0
Fri Feb 20 08:59:49 2026,259517,4903221,1543883,1534,6447104,0,0
Sat Feb 21 08:59:59 2026,345928,4928314,1518790,1207,6447104,0,0
Sun Feb 22 09:00:10 2026,432338,4870059,1577045,2054,6447104,0,0
Mon Feb 23 09:00:20 2026,518748,4922158,1524946,1556,6447104,0,0
Tue Feb 24 09:00:41 2026,605159,5440466,1715246,1755,7155712,0,0
Wed Feb 25 09:00:51 2026,691569,5615890,1539822,2501,7155712,0,0
Fri Feb 27 03:31:05 2026,86702,5401645,1184723,596,6586368,0,0
Wed Mar  4 02:10:32 2026,144973,5121614,1759666,2448,6881280,0,0
Thu Mar  5 06:55:12 2026,86697,5049082,1713414,2535,6762496,0,0
Sat Mar  7 08:07:08 2026,86700,5043055,1662097,1567,6705152,0,0
Sun Mar  8 08:07:18 2026,173110,5002566,1702586,1876,6705152,0,0
Thu Mar 12 07:57:14 2026,86697,4973501,1662019,1743,6635520,0,0
Fri Mar 13 07:57:24 2026,173107,5062596,1667132,1116,6729728,0,0
Sat Mar 14 07:57:35 2026,259518,5008529,1721199,1732,6729728,0,0
Sun Mar 15 07:57:45 2026,345928,5047827,1681901,1408,6729728,0,0
Mon Mar 16 07:57:56 2026,432339,5285683,1444045,567,6729728,0,0
Tue Mar 17 07:58:07 2026,518750,5195716,1583164,1230,6778880,0,0
Sat Mar 21 14:33:34 2026,86706,4897290,1598966,1830,6496256,0,0
Sun Mar 22 14:33:44 2026,173116,4904693,1591563,1863,6496256,0,0
Tue Mar 24 09:06:02 2026,86700,4897172,1316460,1293,6213632,0,0
Sat Mar 28 08:52:54 2026,86703,4884599,1759113,1687,6643712,0,0
Sun Mar 29 08:53:04 2026,173113,4912072,1731640,1405,6643712,0,0
Mon Mar 30 08:53:15 2026,259524,5373817,1540231,847,6914048,0,0
Fri Apr  3 02:26:30 2026,86702,5402287,1249617,1387,6651904,0,0
Sat Apr  4 02:26:41 2026,173113,5573488,1291408,1157,6864896,0,0
Sun Apr  5 02:26:51 2026,259523,5538099,1326797,1409,6864896,0,0
Mon Apr  6 02:27:02 2026,345934,5546625,1318271,1414,6864896,0,0
Tue Apr  7 02:27:13 2026,432345,5672172,1323796,1278,6995968,0,0
Wed Apr  8 02:27:34 2026,518756,6002542,1124498,1149,7127040,0,0
Thu Apr  9 10:12:41 2026,86697,5092221,1531011,1684,6623232,0,0
Fri Apr 10 10:12:51 2026,173107,5122166,1501066,1504,6623232,0,0
Sat Apr 11 10:13:02 2026,259518,5071438,1551794,1795,6623232,0,0
Sun Apr 12 10:13:12 2026,345928,5086414,1536818,1387,6623232,0,0
Mon Apr 13 10:13:23 2026,432339,5367145,1256087,443,6623232,0,0
Tue Apr 14 10:13:33 2026,518749,5132012,1491220,1532,6623232,0,0
Fri Apr 17 06:23:21 2026,86700,5268538,1653702,1154,6922240,0,0
Sat Apr 18 07:48:01 2026,86697,5241156,1513148,2209,6754304,0,0
Sun Apr 19 07:48:12 2026,173108,5288910,1334322,1432,6623232,0,0
