time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:49:30 2026,86662,3284584,1778072,1737,5062656,0,0
Sun Feb  1 09:49:41 2026,173073,3283879,1778777,1735,5062656,0,0
Tue Feb  3 11:37:17 2026,102430,3371242,1068822,2488,4440064,0,0
Thu Feb  5 03:37:32 2026,86666,3595177,1614935,1310,5210112,0,0
Sat Feb  7 09:10:27 2026,86662,3385280,1636416,1770,5021696,0,0
Sun Feb  8 09:10:37 2026,173072,3440413,1581283,1342,5021696,0,0
Thu Feb 12 09:10:19 2026,86664,3305534,1826754,2354,5132288,0,0
Wed Feb 18 08:58:41 2026,86659,3277885,1756099,2840,5033984,0,0
Thu Feb 19 08:58:52 2026,173070,3275963,1758021,2843,5033984,0,0
Fri Feb 20 08:59:12 2026,259480,3278092,1755892,2824,5033984,0,0
Sat Feb 21 08:59:22 2026,345890,3276896,1757088,2839,5033984,0,0
Sun Feb 22 08:59:32 2026,432300,3276983,1757001,2843,5033984,0,0
Mon Feb 23 08:59:43 2026,518711,3277268,1756716,2841,5033984,0,0
Tue Feb 24 09:00:03 2026,605121,3438013,1624643,2260,5062656,0,0
Wed Feb 25 09:00:13 2026,691531,3425067,1637589,2251,5062656,0,0
Fri Feb 27 03:30:23 2026,86660,3318967,1780553,2573,5099520,1,1052672
Wed Mar  4 02:09:53 2026,144934,3262515,1394637,2395,4657152,0,0
Thu Mar  5 06:54:38 2026,86663,3294323,1981325,2394,5275648,0,0
Sat Mar  7 08:06:30 2026,86662,3285408,1724000,2206,5009408,0,0
Sun Mar  8 08:06:41 2026,173073,3285673,1723735,2204,5009408,0,0
Thu Mar 12 07:56:39 2026,86662,3276474,1675590,2340,4952064,1,1052672
Fri Mar 13 07:56:50 2026,173073,3297820,1658340,2294,4956160,0,0
Sat Mar 14 07:57:00 2026,259483,3297866,1658294,2289,4956160,0,0
Sun Mar 15 07:57:10 2026,345893,3299781,1656379,2283,4956160,0,0
Mon Mar 16 07:57:20 2026,432303,3339264,1616896,2088,4956160,1,1052672
Tue Mar 17 07:57:31 2026,518714,3321541,1634619,2223,4956160,0,0
Sat Mar 21 14:32:49 2026,86661,3275014,1763066,2497,5038080,0,0
Sun Mar 22 14:33:00 2026,173072,3272248,1765832,2504,5038080,0,0
Tue Mar 24 09:05:23 2026,86661,3233421,1792371,2434,5025792,0,0
Sat Mar 28 08:52:14 2026,86663,3288818,1909006,2620,5197824,0,0
Sun Mar 29 08:52:25 2026,173074,3289036,1908788,2595,5197824,0,0
Mon Mar 30 08:52:35 2026,259484,3329157,1885051,2347,5214208,0,0
Fri Apr  3 02:25:51 2026,86663,3305072,1741200,1937,5046272,0,0
Sat Apr  4 02:26:02 2026,173074,3313584,1736784,1955,5050368,0,0
Sun Apr  5 02:26:12 2026,259484,3314657,1735711,1941,5050368,0,0
Mon Apr  6 02:26:22 2026,345894,3314105,1736263,1938,5050368,0,0
Tue Apr  7 02:26:33 2026,432305,3319006,1731362,1871,5050368,0,0
Wed Apr  8 02:26:53 2026,518715,3435233,1623327,1226,5058560,0,0
Thu Apr  9 10:12:09 2026,86665,3291779,1738109,2604,5029888,0,0
Fri Apr 10 10:12:19 2026,173075,3292335,1737553,2590,5029888,0,0
Sat Apr 11 10:12:29 2026,259485,3293001,1736887,2587,5029888,0,0
Sun Apr 12 10:12:40 2026,345896,3292297,1737591,2587,5029888,0,0
Mon Apr 13 10:12:50 2026,432306,3294831,1735057,2568,5029888,0,0
Tue Apr 14 10:13:00 2026,518716,3297259,1732629,2557,5029888,0,0
Fri Apr 17 06:22:45 2026,86664,3276139,1868437,2445,5144576,0,0
Sat Apr 18 07:47:31 2026,86667,3342827,1707541,2052,5050368,0,0
Sun Apr 19 07:47:41 2026,173077,3341377,1708991,2032,5050368,0,0
