time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:49:40 2026,86672,12825917,16116419,1184,28942336,0,0
Sun Feb  1 09:49:51 2026,173083,12543042,16370622,1684,28913664,0,0
Tue Feb  3 11:40:08 2026,102601,12378194,18096046,1641,30474240,0,0
Thu Feb  5 03:37:46 2026,86680,12677687,18460105,4502,31137792,0,0
Sat Feb  7 09:10:36 2026,86672,12992730,16457510,1669,29450240,0,0
Sun Feb  8 09:10:50 2026,173085,12615579,17944677,2035,30560256,0,0
Thu Feb 12 09:10:33 2026,86678,12849710,10460626,2428,23310336,0,0
Wed Feb 18 08:58:50 2026,86668,11179045,11037659,1035,22216704,0,0
Thu Feb 19 08:59:00 2026,173078,11338489,10878215,818,22216704,0,0
Fri Feb 20 08:59:21 2026,259489,11181587,11035117,1214,22216704,0,0
Sat Feb 21 08:59:32 2026,345900,11289410,10927294,928,22216704,0,0
Sun Feb 22 08:59:42 2026,432310,11047001,11169703,2864,22216704,0,0
Mon Feb 23 08:59:52 2026,518720,11071653,11145051,2580,22216704,0,0
Tue Feb 24 09:00:14 2026,605132,13252057,14780967,996,28033024,0,0
Wed Feb 25 09:00:25 2026,691543,12677790,15359330,2439,28037120,0,0
Fri Feb 27 03:30:32 2026,86669,11836478,19256258,1666,31092736,0,0
Wed Mar  4 02:10:09 2026,144950,12416217,7613223,3472,20029440,0,0
Thu Mar  5 06:54:47 2026,86672,12552149,21342251,2828,33894400,0,0
Sat Mar  7 08:06:39 2026,86671,13031393,7665695,1755,20697088,0,0
Sun Mar  8 08:06:50 2026,173082,13276790,7481738,1808,20758528,0,0
Thu Mar 12 07:56:49 2026,86672,12519443,10323949,4845,22843392,0,0
Fri Mar 13 07:57:00 2026,173083,13094726,9863354,1704,22958080,0,0
Sat Mar 14 07:57:11 2026,259494,13587285,9370795,1995,22958080,0,0
Sun Mar 15 07:57:22 2026,345905,12931858,9895150,2089,22827008,0,0
Mon Mar 16 07:57:33 2026,432316,13157835,14563893,1557,27721728,0,0
Tue Mar 17 07:57:45 2026,518728,13301221,14420507,1642,27721728,0,0
Sat Mar 21 14:33:00 2026,86672,13192336,9708400,1321,22900736,0,0
Sun Mar 22 14:33:11 2026,173083,13367374,9627570,1408,22994944,0,0
Tue Mar 24 09:05:36 2026,86674,11680372,11453836,2794,23134208,0,0
Sat Mar 28 08:52:22 2026,86671,13181088,16621408,1442,29802496,0,0
Sun Mar 29 08:52:32 2026,173081,13260048,16526064,1306,29786112,0,0
Mon Mar 30 08:52:43 2026,259492,12389415,24241113,2973,36630528,0,0
Fri Apr  3 02:26:04 2026,86676,12161778,11365646,2377,23527424,0,0
Sat Apr  4 02:26:15 2026,173087,12202047,17772481,3194,29974528,0,0
Sun Apr  5 02:26:27 2026,259499,12162668,17811860,2997,29974528,0,0
Mon Apr  6 02:26:39 2026,345911,12173124,17801404,2777,29974528,0,0
Tue Apr  7 02:26:50 2026,432322,12992659,17002349,1653,29995008,0,0
Wed Apr  8 02:27:12 2026,518734,12386475,16379733,3650,28766208,0,0
Thu Apr  9 10:12:15 2026,86671,12054136,11534728,2230,23588864,0,0
Fri Apr 10 10:12:26 2026,173082,13503481,10089479,1669,23592960,0,0
Sat Apr 11 10:12:38 2026,259494,13522722,10070238,1578,23592960,0,0
Sun Apr 12 10:12:49 2026,345905,13355993,10236967,1816,23592960,0,0
Mon Apr 13 10:13:00 2026,432316,13183207,10745625,2199,23928832,0,0
Tue Apr 14 10:13:11 2026,518727,13233733,10695099,2231,23928832,0,0
Fri Apr 17 06:22:50 2026,86669,13300556,15412404,1414,28712960,0,0
Sat Apr 18 07:47:37 2026,86673,12541815,17076361,4501,29618176,0,0
Sun Apr 19 07:47:48 2026,173084,12750165,16888491,3101,29638656,0,0
