time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:49:20 2026,86652,2910033,702639,1068,3612672,0,0
Sun Feb  1 09:49:34 2026,173067,2982990,629682,888,3612672,0,0
Tue Feb  3 11:40:03 2026,102596,2928063,676417,955,3604480,0,0
Thu Feb  5 03:37:24 2026,86658,2982746,834726,1210,3817472,0,0
Sat Feb  7 09:10:17 2026,86652,2912464,712496,1093,3624960,0,0
Sun Feb  8 09:10:31 2026,173066,2916686,708274,1108,3624960,0,0
Thu Feb 12 09:10:05 2026,86650,2932697,778279,2168,3710976,0,0
Wed Feb 18 08:58:31 2026,86649,2900851,654477,1186,3555328,0,0
Thu Feb 19 08:58:44 2026,173062,2908176,647152,1228,3555328,0,0
Fri Feb 20 08:59:08 2026,259476,2908884,646444,1221,3555328,0,0
Sat Feb 21 08:59:20 2026,345888,2912353,642975,1135,3555328,0,0
Sun Feb 22 08:59:34 2026,432302,2916482,638846,1222,3555328,0,0
Mon Feb 23 08:59:47 2026,518715,2915272,640056,1131,3555328,0,0
Tue Feb 24 09:00:11 2026,605129,3002718,868002,1306,3870720,0,0
Wed Feb 25 09:00:25 2026,691543,3006718,864002,1666,3870720,0,0
Fri Feb 27 03:30:13 2026,86650,3023920,711632,998,3735552,0,0
Wed Mar  4 02:09:49 2026,144930,2982022,704378,1502,3686400,0,0
Thu Mar  5 06:54:26 2026,86651,2947201,735103,1279,3682304,0,0
Sat Mar  7 08:06:17 2026,86649,2887279,717201,1159,3604480,0,0
Sun Mar  8 08:06:30 2026,173062,2896065,708415,1117,3604480,0,0
Thu Mar 12 07:56:27 2026,86650,2904584,712184,1112,3616768,0,0
Fri Mar 13 07:56:40 2026,173063,2909562,907910,1142,3817472,0,0
Sat Mar 14 07:56:54 2026,259477,2908473,908999,1074,3817472,0,0
Sun Mar 15 07:57:09 2026,345892,2912198,905274,1046,3817472,0,0
Mon Mar 16 07:57:22 2026,432305,2931374,886098,2227,3817472,0,0
Tue Mar 17 07:57:35 2026,518718,2978333,839139,792,3817472,0,0
Sat Mar 21 14:32:37 2026,86649,2875916,798196,1217,3674112,0,0
Sun Mar 22 14:32:51 2026,173063,2884196,789916,1149,3674112,0,0
Tue Mar 24 09:05:14 2026,86652,2891892,835468,1221,3727360,0,0
Sat Mar 28 08:52:02 2026,86651,2905194,621462,1286,3526656,0,0
Sun Mar 29 08:52:16 2026,173065,2914149,612507,1049,3526656,0,0
Mon Mar 30 08:52:28 2026,259477,2952569,631431,1460,3584000,0,0
Fri Apr  3 02:25:39 2026,86651,2922213,706843,1087,3629056,0,0
Sat Apr  4 02:25:53 2026,173065,2942165,686891,1046,3629056,0,0
Sun Apr  5 02:26:07 2026,259480,2936042,693014,1073,3629056,0,0
Mon Apr  6 02:26:19 2026,345891,2941770,687286,1027,3629056,0,0
Tue Apr  7 02:26:32 2026,432304,2968244,664908,849,3633152,0,0
Wed Apr  8 02:26:58 2026,518720,3100130,565790,829,3665920,0,0
Thu Apr  9 10:11:55 2026,86651,2930382,727346,1155,3657728,0,0
Fri Apr 10 10:12:07 2026,173063,2951075,714845,1164,3665920,0,0
Sat Apr 11 10:12:21 2026,259477,2947371,718549,1117,3665920,0,0
Sun Apr 12 10:12:35 2026,345891,2951092,714828,1117,3665920,0,0
Mon Apr 13 10:12:49 2026,432305,2965693,704323,1317,3670016,0,0
Tue Apr 14 10:13:03 2026,518719,2982820,699484,1259,3682304,0,0
Fri Apr 17 06:22:33 2026,86652,2916331,704533,1026,3620864,0,0
Sat Apr 18 07:47:14 2026,86650,2907348,770860,1252,3678208,0,0
Sun Apr 19 07:47:27 2026,173063,2917108,761100,1204,3678208,0,0
