Optical Module 2, TemperatureCelsius, ReadingCelsius
2026/04/20 03:06:50, 30.56, 30.56
2026/04/20 03:16:51, 31.32, 31.32
2026/04/20 03:26:52, 31.79, 31.79
2026/04/20 03:36:52, 31.94, 31.94
2026/04/20 03:46:53, 32.25, 32.25
2026/04/20 03:56:53, 32.38, 32.38
2026/04/20 04:06:54, 32.14, 32.14
2026/04/20 04:16:54, 31.95, 31.95
2026/04/20 04:26:55, 31.26, 31.26
2026/04/20 04:36:55, 30.79, 30.79
2026/04/20 04:46:56, 30.71, 30.71
2026/04/20 04:56:57, 31.05, 31.05
2026/04/20 05:06:57, 31.49, 31.49
2026/04/20 05:16:58, 31.66, 31.66
2026/04/20 05:26:58, 31.94, 31.94
2026/04/20 05:36:59, 31.11, 31.11
2026/04/20 05:47:00, 31.18, 31.18
2026/04/20 05:57:00, 31.2, 31.2
2026/04/20 06:07:01, 31.21, 31.21
2026/04/20 06:17:02, 31.42, 31.42
2026/04/20 06:27:02, 31.38, 31.38
2026/04/20 06:37:03, 31.45, 31.45
2026/04/20 06:47:03, 31.4, 31.4
2026/04/20 06:57:04, 31.24, 31.24
2026/04/20 07:07:04, 30.76, 30.76
2026/04/20 07:17:05, 30.58, 30.58
2026/04/20 07:27:06, 30.29, 30.29
2026/04/20 07:37:06, 30.13, 30.13
2026/04/20 07:47:07, 30.48, 30.48
2026/04/20 07:57:07, 30.29, 30.29
2026/04/20 08:07:08, 30.47, 30.47
2026/04/20 08:17:09, 31.06, 31.06
2026/04/20 08:27:09, 30.91, 30.91
2026/04/20 08:37:10, 30.7, 30.7
2026/04/20 08:47:10, 30.71, 30.71
2026/04/20 08:57:11, 30.79, 30.79
2026/04/20 09:07:12, 30.34, 30.34
2026/04/20 09:17:13, 30.13, 30.13
2026/04/20 09:27:13, 29.88, 29.88
2026/04/20 09:37:14, 29.88, 29.88
2026/04/20 09:47:14, 30.14, 30.14
2026/04/20 09:57:15, 30.63, 30.63
2026/04/20 10:07:16, 30.33, 30.33
2026/04/20 10:17:16, 30.02, 30.02
2026/04/20 10:27:17, 30.13, 30.13
2026/04/20 10:37:17, 30.11, 30.11
2026/04/20 10:47:18, 30.23, 30.23
2026/04/20 10:57:19, 30.23, 30.23
2026/04/20 11:07:19, 30.22, 30.22
2026/04/20 11:17:20, 30.21, 30.21
2026/04/20 11:27:20, 30.06, 30.06
2026/04/20 11:37:21, 30.05, 30.05
2026/04/20 11:47:21, 29.99, 29.99
2026/04/20 11:57:22, 30.16, 30.16
2026/04/20 12:07:23, 30, 30
2026/04/20 12:17:23, 30.1, 30.1
2026/04/20 12:27:24, 30.28, 30.28
2026/04/20 12:37:24, 30.17, 30.17
2026/04/20 12:47:25, 30.13, 30.13
2026/04/20 12:57:25, 30.09, 30.09
2026/04/20 13:07:26, 30.23, 30.23
2026/04/20 13:17:27, 30.02, 30.02
