RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
3907,2026-04-20 03:02:16,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3906,2026-04-20 03:02:16,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3905,2026-04-20 03:02:16,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3904,2026-04-20 03:02:16,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3903,2026-04-20 03:02:16,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3902,2026-04-20 03:02:13,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3901,2026-04-20 03:02:13,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3900,2026-04-20 03:02:11,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
3899,2026-04-20 02:59:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3898,2026-04-20 02:59:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3897,2026-04-20 02:59:42,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3896,2026-04-20 02:59:42,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3895,2026-04-20 02:59:42,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3894,2026-04-20 02:59:42,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3893,2026-04-20 02:59:41,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3892,2026-04-20 02:59:41,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
3891,2026-04-20 02:59:14,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
3890,2026-04-20 02:59:14,DIMM061,Informational,Memory,Asserted,Presence detected
3889,2026-04-20 02:59:14,DIMM070,Informational,Memory,Asserted,Presence detected
3888,2026-04-20 02:59:14,DIMM171,Informational,Memory,Asserted,Presence detected
3887,2026-04-20 02:59:13,DIMM071,Informational,Memory,Asserted,Presence detected
3886,2026-04-20 02:59:13,DIMM040,Informational,Memory,Asserted,Presence detected
3885,2026-04-20 02:59:13,DIMM041,Informational,Memory,Asserted,Presence detected
3884,2026-04-20 02:59:13,DIMM050,Informational,Memory,Asserted,Presence detected
3883,2026-04-20 02:59:13,DIMM011,Informational,Memory,Asserted,Presence detected
3882,2026-04-20 02:59:13,DIMM060,Informational,Memory,Asserted,Presence detected
3881,2026-04-20 02:59:12,DIMM131,Informational,Memory,Asserted,Presence detected
3880,2026-04-20 02:59:12,DIMM130,Informational,Memory,Asserted,Presence detected
3879,2026-04-20 02:59:12,DIMM121,Informational,Memory,Asserted,Presence detected
3878,2026-04-20 02:59:11,DIMM120,Informational,Memory,Asserted,Presence detected
3877,2026-04-20 02:59:11,DIMM151,Informational,Memory,Asserted,Presence detected
3876,2026-04-20 02:59:11,DIMM160,Informational,Memory,Asserted,Presence detected
3875,2026-04-20 02:59:10,DIMM170,Informational,Memory,Asserted,Presence detected
3874,2026-04-20 02:59:10,DIMM141,Informational,Memory,Asserted,Presence detected
3873,2026-04-20 02:59:08,DIMM161,Informational,Memory,Asserted,Presence detected
3872,2026-04-20 02:59:08,DIMM111,Informational,Memory,Asserted,Presence detected
3871,2026-04-20 02:59:07,DIMM140,Informational,Memory,Asserted,Presence detected
3870,2026-04-20 02:59:06,DIMM000,Informational,Memory,Asserted,Presence detected
3869,2026-04-20 02:59:06,DIMM150,Informational,Memory,Asserted,Presence detected
3868,2026-04-20 02:59:06,DIMM030,Informational,Memory,Asserted,Presence detected
3867,2026-04-20 02:59:06,DIMM021,Informational,Memory,Asserted,Presence detected
3866,2026-04-20 02:59:05,DIMM010,Informational,Memory,Asserted,Presence detected
3865,2026-04-20 02:59:05,DIMM031,Informational,Memory,Asserted,Presence detected
3864,2026-04-20 02:59:05,DIMM100,Informational,Memory,Asserted,Presence detected
3863,2026-04-20 02:59:04,DIMM110,Informational,Memory,Asserted,Presence detected
3862,2026-04-20 02:59:04,DIMM001,Informational,Memory,Asserted,Presence detected
3861,2026-04-20 02:59:03,DIMM101,Informational,Memory,Asserted,Presence detected
3860,2026-04-20 02:59:02,DIMM020,Informational,Memory,Asserted,Presence detected
3859,2026-04-20 02:58:58,DIMM051,Informational,Memory,Asserted,Presence detected
3858,2026-04-20 02:57:39,DISK0,Informational,Drive Slot / Bay,Asserted,Drive Present
