sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x4        | 1711 Core Temp   | 40.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xc        | EXU1 VCC_12V0    | 12.120     | Volts        | ok     | na         | 10.800     | na         | na       | 13.200     | na         | 0.240  | 0.240 
0xd        | EXU1 STBY_5V0    | 5.100      | Volts        | ok     | na         | 4.500      | na         | na       | 5.500      | na         | 0.150  | 0.150 
0xe        | EXU1 STBY_3V3    | 3.360      | Volts        | ok     | na         | 2.940      | na         | na       | 3.660      | na         | 0.120  | 0.120 
0xf        | EXU1 VCC_5V0     | 5.050      | Volts        | ok     | na         | 4.500      | na         | na       | 5.500      | na         | 0.150  | 0.150 
0x10       | Inlet Temp       | 22.000     | degrees C    | ok     | na         | na         | na         | 41.000   | 43.000     | na         | 2.000  | 2.000 
0x13       | Disks Temp       | na         | degrees C    | na     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x14       | SSD MAX Temp     | 45.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x15       | 5902L_Temp1      | na         | degrees C    | na     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0x16       | NIC1 Temp        | 26.000     | degrees C    | ok     | na         | na         | na         | 115.000  | na         | na         | 2.000  | 2.000 
0x1b       | CPU2 1V1_VDDQ    | 1.100      | Volts        | ok     | na         | 0.990      | na         | na       | 1.210      | na         | 0.020  | 0.020 
0x1c       | CPU2 UNCORE Temp | 38.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x1d       | CPU2 NBDVDD Temp | 45.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x1e       | CPU2 VDDQ Temp   | 45.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x1f       | CPU2 VRD Temp    | 45.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x20       | CPU1 0V9_UNCORE  | 1.030      | Volts        | ok     | na         | 0.670      | na         | na       | 1.100      | na         | 0.020  | 0.020 
0x21       | CPU1 0V9_TBCORE  | 0.940      | Volts        | ok     | na         | 0.580      | na         | na       | 1.320      | na         | 0.020  | 0.020 
0x22       | CPU1 UNCORE Temp | 59.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x23       | CPU2 NADVDD Temp | 44.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x24       | CPU2 TBCORE Temp | 38.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x25       | CPU2 VDD Temp    | 42.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x26       | CPU2 0V9_UNCORE  | 0.810      | Volts        | ok     | na         | 0.670      | na         | na       | 1.100      | na         | 0.020  | 0.020 
0x27       | CPU2 0V9_TBCORE  | 0.930      | Volts        | ok     | na         | 0.580      | na         | na       | 1.320      | na         | 0.020  | 0.020 
0x28       | CPU2 0V9_TACORE  | 0.930      | Volts        | ok     | na         | 0.580      | na         | na       | 1.320      | na         | 0.020  | 0.020 
0x29       | CPU2 0V8_NADVDD  | 0.800      | Volts        | ok     | na         | 0.720      | na         | na       | 0.880      | na         | 0.020  | 0.020 
0x2a       | CPU1 VRD Temp    | 59.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x2b       | NIC OM Temp      | 30.000     | degrees C    | ok     | na         | na         | na         | 75.000   | na         | na         | 2.000  | 2.000 
0x2c       | CPU1 VDD Temp    | 53.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x2d       | CPU1 0V8_NADVDD  | 0.800      | Volts        | ok     | na         | 0.720      | na         | na       | 0.880      | na         | 0.020  | 0.020 
0x2e       | CPU1 0V9_TACORE  | 0.940      | Volts        | ok     | na         | 0.580      | na         | na       | 1.320      | na         | 0.020  | 0.020 
0x2f       | BCU1 12V0_3 Pwr  | 120.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 200.000 | 200.000
0x30       | CPU1 TACORE Temp | 53.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x31       | BCU1 3V3_RISER2  | na         | Volts        | na     | na         | 2.940      | na         | na       | 3.660      | na         | 0.120  | 0.120 
0x32       | BCU1 3V3         | 3.360      | Volts        | ok     | na         | 2.940      | na         | na       | 3.660      | na         | 0.120  | 0.120 
0x33       | BCU1 VCC_12V0_3  | 12.360     | Volts        | ok     | na         | 10.800     | na         | na       | 13.200     | na         | 0.240  | 0.240 
0x34       | BCU1 VCC_12V0_2  | 12.360     | Volts        | ok     | na         | 10.800     | na         | na       | 13.200     | na         | 0.240  | 0.240 
0x35       | BCU1 VCC_12V0_1  | 12.360     | Volts        | ok     | na         | 10.800     | na         | na       | 13.200     | na         | 0.240  | 0.240 
0x36       | CPU2 MEM Temp    | 36.000     | degrees C    | ok     | na         | na         | na         | 95.000   | na         | na         | 2.000  | 2.000 
0x37       | CPU2 TACORE Temp | 42.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x38       | CPU2 0V8_NBDVDD  | 0.800      | Volts        | ok     | na         | 0.720      | na         | na       | 0.880      | na         | 0.020  | 0.020 
0x39       | CPU1 MEM Temp    | 54.000     | degrees C    | ok     | na         | na         | na         | 95.000   | na         | na         | 2.000  | 2.000 
0x3a       | CPU2 Core Rem    | 38.000     | degrees C    | ok     | na         | na         | na         | 105.000  | 110.000    | na         | 2.000  | 2.000 
0x3b       | CPU1 Core Rem    | 59.000     | degrees C    | ok     | na         | na         | na         | 105.000  | 110.000    | na         | 2.000  | 2.000 
0x3c       | CPU1 NBDVDD Temp | 58.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x3d       | CPU1 0V8_NBDVDD  | 0.800      | Volts        | ok     | na         | 0.720      | na         | na       | 0.880      | na         | 0.020  | 0.020 
0x3e       | CPU1 0V75_VDD    | 0.760      | Volts        | ok     | na         | 0.690      | na         | na       | 0.840      | na         | 0.020  | 0.020 
0x3f       | BCU1 12V0_4 Pwr  | 5.000      | Watts        | ok     | na         | na         | na         | na       | na         | na         | 5.000  | 5.000 
0x40       | CPU1 NADVDD Temp | 55.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x41       | CPU2 0V75_VDD    | 0.760      | Volts        | ok     | na         | 0.690      | na         | na       | 0.840      | na         | 0.020  | 0.020 
0x42       | CPU1 VDDQ Temp   | 58.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
