time-v3.1-2024.9.14,uptime,cpu_idle,mem_used,mdbus_used,mem_free,buff_cache,avail_mem,ssdp.cpu,file_transfer.cpu,framework.cpu,bmc_core.cpu,security.cpu,alarm.cpu,hardware.cpu,om_priv.cpu,energy.cpu,ras.cpu,om.cpu,interface.cpu,dbus_daemon_syslog.cpu,dbus_daemon_system.cpu,ssdp.res,ssdp.shr,ssdp.mem,ssdp.dbus,file_transfer.res,file_transfer.shr,file_transfer.mem,file_transfer.dbus,framework.res,framework.shr,framework.mem,framework.dbus,bmc_core.res,bmc_core.shr,bmc_core.mem,bmc_core.dbus,security.res,security.shr,security.mem,security.dbus,alarm.res,alarm.shr,alarm.mem,alarm.dbus,hardware.res,hardware.shr,hardware.mem,hardware.dbus,om_priv.res,om_priv.shr,om_priv.mem,om_priv.dbus,energy.res,energy.shr,energy.mem,energy.dbus,ras.res,ras.shr,ras.mem,ras.dbus,om.res,om.shr,om.mem,om.dbus,interface.res,interface.shr,interface.mem,interface.dbus,dbus_daemon_syslog.res,dbus_daemon_syslog.shr,dbus_daemon_syslog.mem,dbus_daemon_syslog.dbus,dbus_daemon_system.res,dbus_daemon_system.shr,dbus_daemon_system.mem,dbus_daemon_system.dbus
Sat Jan 31 09:46:10 CGP 2026,86461.50,44.57,1289.00,46583.00,366.73,185.77,345.33,0.13,0.03,58.80,6.77,4.20,7.10,19.37,2.20,26.00,4.50,10.17,2.47,0.00,0.10,8096.00,6784.00,1312.00,20.00,8892.00,7488.00,1404.00,20.00,222736.00,63924.00,158812.00,12266.67,168165.33,54208.00,113957.33,10410.67,85996.00,44260.00,41736.00,6753.33,179432.00,59844.00,119588.00,13580.00,148952.00,60644.00,88308.00,13504.00,88004.00,42284.00,45720.00,5714.67,117128.00,55456.00,61672.00,12100.00,154274.67,62356.00,91918.67,11936.00,161620.00,53748.00,107872.00,8821.33,148264.00,57456.00,90808.00,11857.33,4528.00,1828.00,2700.00,20.00,3672.00,3256.00,416.00,20.00
Sun Feb  1 09:46:21 CGP 2026,172872.32,48.53,1288.33,46582.00,368.83,182.40,346.00,0.30,0.03,65.30,6.47,1.97,8.10,18.97,4.13,26.80,5.13,8.07,7.03,0.10,0.10,8244.00,6784.00,1460.00,20.00,8892.00,7488.00,1404.00,20.00,223368.00,64056.00,159312.00,12302.67,168580.00,54336.00,114244.00,10453.33,86192.00,44380.00,41812.00,6790.67,179444.00,59972.00,119472.00,13589.33,148996.00,60716.00,88280.00,13528.00,88004.00,42284.00,45720.00,5714.67,117372.00,55640.00,61732.00,12158.67,154164.00,62420.00,91744.00,11957.33,161424.00,53752.00,107672.00,8822.67,148186.67,57901.33,90285.33,12002.67,4528.00,1828.00,2700.00,20.00,3672.00,3256.00,416.00,20.00
Tue Feb  3 11:34:03 CGP 2026,102235.48,17.73,1308.13,46982.00,346.30,191.23,326.17,0.17,0.00,68.33,62.30,4.13,10.03,58.03,4.43,31.20,12.67,15.73,9.83,0.00,0.13,8864.00,6832.00,2032.00,20.00,8896.00,7564.00,1332.00,20.00,241880.00,68068.00,173812.00,13246.67,176466.67,60648.00,115818.67,12528.00,87376.00,45408.00,41968.00,7113.33,192380.00,62908.00,129472.00,14525.33,157536.00,59868.00,97668.00,13288.00,91708.00,45732.00,45976.00,6588.00,119384.00,56144.00,63240.00,12321.33,158088.00,65588.00,92500.00,13014.67,169596.00,58816.00,110780.00,10972.00,138100.00,63352.00,74748.00,13721.33,6288.00,1716.00,4572.00,20.00,3976.00,3452.00,524.00,20.00
Thu Feb  5 03:34:10 CGP 2026,86463.50,43.50,1326.17,48717.00,329.00,188.80,308.20,0.20,0.00,92.93,15.90,4.10,10.33,11.93,2.23,31.10,12.30,8.33,6.10,0.00,0.00,8224.00,6736.00,1488.00,20.00,9100.00,7692.00,1408.00,20.00,236138.67,64060.00,172078.67,11949.33,177762.67,60564.00,117198.67,12485.33,86526.67,45140.00,41386.67,6992.00,197010.67,64120.00,132890.67,15076.00,155428.00,58832.00,96596.00,12897.33,94036.00,47432.00,46604.00,7180.00,121080.00,57004.00,64076.00,12589.33,165260.00,66288.00,98972.00,13070.67,169452.00,60272.00,109180.00,10846.67,137184.00,61892.00,75292.00,13182.67,5088.00,2076.00,3012.00,20.00,2780.00,2524.00,256.00,20.00
Sat Feb  7 09:07:07 CGP 2026,86461.94,7.60,1331.37,48969.00,322.90,194.57,303.03,0.33,0.00,71.80,76.53,2.20,24.03,4.97,2.00,27.50,64.80,34.70,5.37,0.13,0.10,8120.00,6792.00,1328.00,20.00,8860.00,7484.00,1376.00,20.00,225140.00,64344.00,160796.00,12097.33,179621.33,63084.00,116537.33,13313.33,86105.33,44832.00,41273.33,6942.67,195694.67,65024.00,130670.67,15250.67,152221.33,59892.00,92329.33,13218.67,90709.33,44648.00,46061.33,6584.00,120964.00,57624.00,63340.00,12761.33,171376.00,66296.00,105080.00,13229.33,167361.33,57236.00,110125.33,9969.33,133696.00,61708.00,71988.00,13168.00,11908.00,1824.00,10084.00,20.00,3772.00,3356.00,416.00,20.00
Sun Feb  8 09:07:18 CGP 2026,172872.38,15.73,1340.57,48970.00,313.33,194.53,293.80,0.17,0.03,70.93,89.87,4.03,13.53,8.33,2.47,34.23,30.10,21.67,4.23,0.17,0.13,8292.00,6792.00,1500.00,20.00,8860.00,7484.00,1376.00,20.00,225344.00,64344.00,161000.00,12097.33,181752.00,63172.00,118580.00,13338.67,86260.00,44980.00,41280.00,6992.00,197001.33,65076.00,131925.33,15264.00,152224.00,59892.00,92332.00,13218.67,90801.33,44732.00,46069.33,6612.00,121408.00,57628.00,63780.00,12762.67,168134.67,66344.00,101790.67,13245.33,167790.67,57240.00,110550.67,9970.67,133876.00,61712.00,72164.00,13168.00,19300.00,1824.00,17476.00,20.00,3772.00,3356.00,416.00,20.00
Thu Feb 12 09:06:58 CGP 2026,86462.24,54.80,1314.20,49013.00,341.13,187.93,320.17,0.33,0.03,55.40,5.67,2.27,7.17,5.50,1.93,21.57,11.67,12.03,7.57,0.07,0.10,8148.00,6680.00,1468.00,20.00,8740.00,7392.00,1348.00,20.00,226552.00,64672.00,161880.00,12162.67,174144.00,59500.00,114644.00,12110.67,85242.67,44076.00,41166.67,6669.33,189386.67,62896.00,126490.67,14538.67,148848.00,58172.00,90676.00,12642.67,90288.00,44468.00,45820.00,6396.00,121864.00,57604.00,64260.00,12786.67,161836.00,66284.00,95552.00,13134.67,165826.67,56036.00,109790.67,9474.67,152220.00,60600.00,91620.00,12829.33,4528.00,2008.00,2520.00,20.00,3868.00,3444.00,424.00,20.00
Wed Feb 18 08:55:23 CGP 2026,86460.96,67.83,1275.17,45237.00,380.80,180.50,359.20,0.17,0.00,48.50,4.43,1.83,2.77,3.13,1.80,21.23,1.83,5.33,2.07,0.00,0.10,8164.00,6820.00,1344.00,20.00,8924.00,7524.00,1400.00,20.00,215268.00,61068.00,154200.00,11382.67,165270.67,51422.67,113848.00,9469.33,82882.67,41828.00,41054.67,5916.00,170276.00,57272.00,113004.00,12764.00,139120.00,51964.00,87156.00,10841.33,88226.67,42348.00,45878.67,5733.33,126296.00,53704.00,72592.00,11498.67,143616.00,57488.00,86128.00,10378.67,157392.00,50556.00,106836.00,7836.00,133600.00,38456.00,95144.00,5754.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
Thu Feb 19 08:55:34 CGP 2026,172871.23,65.93,1276.90,45239.00,379.37,181.03,357.50,0.13,0.00,57.23,4.80,1.73,6.93,3.30,1.97,30.07,1.83,7.30,4.30,0.00,0.10,8352.00,6820.00,1532.00,20.00,8924.00,7524.00,1400.00,20.00,216916.00,61648.00,155268.00,11564.00,165429.33,51432.00,113997.33,9472.00,83070.67,41960.00,41110.67,5957.33,170208.00,57320.00,112888.00,12764.00,139016.00,51964.00,87052.00,10841.33,88232.00,42348.00,45884.00,5733.33,126960.00,54096.00,72864.00,11626.67,143704.00,57576.00,86128.00,10408.00,157473.33,50640.00,106833.33,7836.00,133600.00,38456.00,95144.00,5754.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
Fri Feb 20 08:55:54 CGP 2026,259281.44,64.87,1278.40,45238.00,376.50,183.40,356.00,0.27,0.00,50.20,6.33,3.47,1.87,5.50,1.63,14.40,1.77,6.83,2.10,0.07,0.13,8520.00,6820.00,1700.00,20.00,8924.00,7524.00,1400.00,20.00,216792.00,61668.00,155124.00,11566.67,165262.67,51440.00,113822.67,9476.00,83088.00,41976.00,41112.00,5962.67,170236.00,57320.00,112916.00,12764.00,139273.33,51964.00,87309.33,10841.33,88232.00,42348.00,45884.00,5733.33,126816.00,54152.00,72664.00,11644.00,143716.00,57584.00,86132.00,10410.67,157156.00,50640.00,106516.00,7836.00,133600.00,38456.00,95144.00,5754.67,4456.00,2000.00,2456.00,20.00,3776.00,3360.00,416.00,20.00
