time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:48:38 2026,86610,15896576,3141632,2811,19038208,0,0
Sun Feb  1 09:48:48 2026,173020,16012093,3529923,2231,19542016,0,0
Tue Feb  3 11:37:01 2026,102414,16491957,6650443,1989,23142400,1,1998848
Thu Feb  5 03:36:37 2026,86611,16580186,2978214,3311,19558400,1,1998848
Sat Feb  7 09:09:36 2026,86611,17003608,2718632,2584,19722240,1,1998848
Sun Feb  8 09:09:46 2026,173021,17017477,2729339,2237,19746816,1,1998848
Thu Feb 12 09:09:24 2026,86609,16695056,3535088,3842,20230144,1,1998848
Wed Feb 18 08:57:51 2026,86609,15439979,2238357,3054,17678336,0,0
Thu Feb 19 08:58:02 2026,173020,15380625,2461551,2781,17842176,0,0
Fri Feb 20 08:58:22 2026,259430,15486098,2642798,3360,18128896,0,0
Sat Feb 21 08:58:32 2026,345840,15368970,2788598,4475,18157568,0,0
Sun Feb 22 08:58:43 2026,432251,15615755,2541813,4553,18157568,0,0
Mon Feb 23 08:58:53 2026,518661,15265717,2928715,3572,18194432,0,0
Tue Feb 24 08:59:13 2026,605071,16964979,3224205,3640,20189184,1,1998848
Wed Feb 25 08:59:24 2026,691482,17064269,3350195,3321,20414464,1,1998848
Fri Feb 27 03:29:33 2026,86610,16568329,6512631,4720,23080960,1,1998848
Wed Mar  4 02:09:36 2026,144918,15744372,3617420,1945,19361792,1,1998848
Thu Mar  5 06:53:45 2026,86610,15919970,4072606,2745,19992576,1,1998848
Sat Mar  7 08:05:37 2026,86609,16903838,3563874,3517,20467712,1,1998848
Sun Mar  8 08:05:48 2026,173020,17118296,3488680,3102,20606976,1,1998848
Thu Mar 12 07:55:46 2026,86610,17272836,5521404,3661,22794240,1,1998848
Fri Mar 13 07:55:57 2026,173020,17096412,6103332,6285,23199744,1,1998848
Sat Mar 14 07:56:07 2026,259430,17326366,6237922,4438,23564288,1,1998848
Sun Mar 15 07:56:18 2026,345841,17231787,6434901,5143,23666688,1,1998848
Mon Mar 16 07:56:28 2026,432251,17060726,6466698,5910,23527424,1,1998848
Tue Mar 17 07:56:39 2026,518662,17215881,6819447,4849,24035328,1,1998848
Sat Mar 21 14:31:58 2026,86610,15650833,2826223,4364,18477056,1,1998848
Sun Mar 22 14:32:08 2026,173020,15722023,2955737,3349,18677760,1,1998848
Tue Mar 24 09:04:31 2026,86609,16429890,3996862,3354,20426752,1,1998848
Sat Mar 28 08:51:20 2026,86609,16513253,3729179,3597,20242432,1,1998848
Sun Mar 29 08:51:30 2026,173019,16612149,3810507,3617,20422656,1,1998848
Mon Mar 30 08:51:41 2026,259430,16690664,3838488,3512,20529152,1,1998848
Fri Apr  3 02:24:57 2026,86609,16615372,4061236,3516,20676608,1,1998848
Sat Apr  4 02:25:07 2026,173019,17136122,3524102,3665,20660224,1,1998848
Sun Apr  5 02:25:18 2026,259430,17191526,3579290,3830,20770816,1,1998848
Mon Apr  6 02:25:28 2026,345840,17271323,3491301,3556,20762624,1,1998848
Tue Apr  7 02:25:39 2026,432251,17015509,3710251,3179,20725760,1,1998848
Wed Apr  8 02:26:00 2026,518662,17019114,4136726,3235,21155840,1,1998848
Thu Apr  9 10:11:14 2026,86610,16708248,3399016,2969,20107264,1,1998848
Fri Apr 10 10:11:24 2026,173020,16794324,3620140,3153,20414464,1,1998848
Sat Apr 11 10:11:34 2026,259430,16898954,3544182,2930,20443136,1,1998848
Sun Apr 12 10:11:45 2026,345841,16958685,3586851,3340,20545536,1,1998848
Mon Apr 13 10:11:55 2026,432251,16697019,3680581,3046,20377600,1,1998848
Tue Apr 14 10:12:05 2026,518661,17089587,3230669,3089,20320256,1,1998848
Fri Apr 17 06:21:50 2026,86609,16867747,2510429,3689,19378176,1,1998848
Sat Apr 18 07:46:34 2026,86610,17032195,3042301,3515,20074496,1,1998848
Sun Apr 19 07:46:45 2026,173021,17153899,3195029,3223,20348928,1,1998848
